@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R3

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
0,0.8,0.666667,0.026446,South
0,0.733333,0.533333,0.024793,South
0,0.666667,0.466667,0.02314,South
0,0.6,0.4,0.021488,South
0,0.533333,0.266667,0.019835,South
0,0.466667,0.266667,0.018182,South
0,0.466667,0.333333,0.016529,South
0,0.4,0.2,0.014876,South
0,0.333333,0.066667,0.013223,South
0,0.266667,0,0.01157,South
0,0.2,0.133333,0.340496,South
0,0.133333,0.066667,0.338843,South
0.0625,0.133333,0,0.33719,East
0.0625,0.2,0.066667,0.666116,North
0.0625,0.133333,0.066667,0.664463,South
0.0625,0.066667,0.6,0.993388,South
0.0625,0.133333,0.533333,0.991736,North
0.0625,0.2,0.4,0.990083,North
0.125,0.2,0.333333,0.98843,East
0.125,0.266667,0.333333,0.986777,North
0.125,0.333333,0.266667,0.985124,North
0.125,0.4,0.2,0.983471,North
0.125,0.466667,0.066667,0.981818,North
0.1875,0.466667,0,0.980165,East
0,0.2,0.4,0.031405,Stop
0,0.133333,0.266667,0.029752,South
0,0.066667,0.266667,0.028099,South
0,0,0.133333,0.026446,South
0.0625,0,0.133333,0.024793,East
0.0625,0.066667,0.133333,0.02314,North
0.125,0.066667,0.133333,0.021488,East
0.1875,0.066667,0.066667,0.019835,East
0.25,0.066667,0,0.018182,East
0.3125,0.066667,0.066667,0.347107,East
0.3125,0.133333,0.4,0.676033,North
0.3125,0.066667,0.4,0.67438,South
0.3125,0,0.266667,0.672727,South
0.375,0,0.133333,0.671074,East
0.4375,0,0.066667,0.669421,East
0.5,0,0.066667,0.667769,East
0.5625,0,0.066667,0.666116,East
0.5625,0.066667,0,0.664463,North
0.625,0.066667,0.2,0.993388,East
0.6875,0.066667,0.066667,0.991736,East
0.6875,0.133333,0.133333,0.990083,North
0.6875,0.066667,0.066667,0.98843,South
0.75,0.066667,0.066667,0.986777,East
0.8125,0.066667,0,0.985124,East
0,0.2,0.4,0.031405,Stop
0,0.133333,0.333333,0.029752,South
0,0.066667,0.266667,0.028099,South
0.0625,0.066667,0.2,0.026446,East
0.125,0.066667,0.133333,0.024793,East
0.1875,0.066667,0.066667,0.02314,East
0.25,0.066667,0,0.021488,East
0.3125,0.066667,0.2,0.350413,East
0.3125,0.133333,0.133333,0.34876,North
0.3125,0.2,0.066667,0.347107,North
0.375,0.2,0,0.345455,East
0.4375,0.2,0.333333,0.67438,East
