@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R4,6-7'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute score numeric
@attribute livingGhosts2 numeric
@attribute score2 numeric
@attribute class {Stop,North,South,East,West}

@data
1,6,4,-3,4,-4,Stop
2,6,4,-4,4,-5,East
3,6,4,-5,4,-6,East
4,6,4,-6,4,-7,East
5,6,4,-7,4,-8,East
6,6,4,-8,4,-9,East
7,6,4,-9,3,190,East
8,6,3,190,3,189,East
9,6,3,189,3,188,East
10,6,3,188,3,187,East
11,6,3,187,3,186,East
12,6,3,186,3,185,East
13,6,3,185,3,184,East
14,6,3,184,3,183,East
15,6,3,183,2,382,East
16,6,2,382,2,381,East
16,5,2,381,2,380,South
16,4,2,380,2,379,South
16,3,2,379,2,378,South
15,3,2,378,2,377,West
14,3,2,377,2,376,West
13,3,2,376,2,375,West
12,3,2,375,1,574,West
11,3,1,574,1,573,West
10,3,1,573,1,572,West
9,3,1,572,1,571,West
8,3,1,571,1,570,West
7,3,1,570,1,569,West
6,3,1,569,0,768,West
