@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R4

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute class {Stop,North,South,East,West}

@data
1,7,4,South
1,6,4,South
1,5,4,South
2,5,4,East
3,5,4,East
4,5,4,East
5,5,4,East
6,5,4,East
7,5,3,East
6,5,3,West
5,5,3,West
4,5,3,West
3,5,3,West
2,5,3,West
1,5,3,West
1,4,3,South
1,3,3,South
2,3,3,East
3,3,3,East
4,3,3,East
5,3,3,East
6,3,3,East
7,3,3,East
8,3,3,East
9,3,3,East
10,3,3,East
11,3,3,East
12,3,3,East
13,3,2,East
14,3,2,East
15,3,2,East
16,3,2,East
17,3,2,East
18,3,2,East
18,4,2,North
18,5,2,North
18,6,2,North
17,6,2,West
16,6,2,West
15,6,1,West
16,6,1,East
17,6,1,East
17,7,1,North
17,8,1,North
17,9,1,North
17,10,1,North
17,11,1,North
16,11,1,West
15,11,1,West
1,13,4,Stop
1,13,4,Stop
1,13,4,Stop
2,13,4,East
3,13,4,East
4,13,4,East
5,13,4,East
6,13,4,East
7,13,4,East
8,13,4,East
9,13,4,East
9,12,4,South
9,11,4,South
10,11,4,East
11,11,4,East
12,11,4,East
13,11,4,East
14,11,4,East
15,11,4,East
16,11,3,East
17,11,3,East
17,10,3,South
17,9,3,South
17,8,3,South
17,7,3,South
17,6,3,South
16,6,3,West
15,6,3,West
14,6,3,West
13,6,3,West
12,6,3,West
11,6,2,West
10,6,2,West
9,6,2,West
9,5,2,South
9,4,2,South
9,3,2,South
10,3,2,East
11,3,2,East
12,3,2,East
13,3,2,East
14,3,2,East
15,3,1,East
14,3,1,West
13,3,1,West
12,3,1,West
11,3,1,West
10,3,1,West
9,3,1,West
8,3,1,West
7,3,1,West
6,3,1,West
5,3,1,West
4,3,1,West
3,3,1,West
2,3,1,West
1,3,1,West
1,4,1,North
12,10,4,Stop
12,10,4,Stop
12,10,4,Stop
12,10,4,Stop
12,10,4,Stop
13,10,4,East
14,10,4,East
15,10,4,East
15,9,4,South
15,8,4,South
15,7,4,South
15,6,4,South
15,5,4,South
14,5,4,West
13,5,4,West
13,4,3,South
13,3,3,South
12,3,3,West
11,3,3,West
10,3,3,West
9,3,3,West
8,3,3,West
7,3,3,West
6,3,3,West
5,3,3,West
5,4,3,North
5,5,3,North
6,5,2,East
7,5,2,East
7,6,2,North
6,6,2,West
5,6,2,West
4,6,2,West
4,7,2,North
4,8,2,North
4,9,2,North
3,9,2,West
3,10,2,North
3,11,2,North
3,12,2,North
3,13,2,North
3,14,2,North
4,14,2,East
5,14,1,East
6,14,1,East
7,14,1,East
8,14,1,East
12,10,4,Stop
12,10,4,Stop
12,10,4,Stop
13,10,4,East
14,10,4,East
15,10,4,East
15,11,4,North
15,12,4,North
15,13,4,North
15,14,4,North
14,14,4,West
13,14,4,West
12,14,4,West
11,14,4,West
10,14,4,West
10,13,4,South
10,12,4,South
11,12,4,East
12,12,4,East
13,12,3,East
12,12,3,West
11,12,3,West
10,12,3,West
9,12,3,West
8,12,3,West
7,12,3,West
6,12,3,West
5,12,2,West
6,12,2,East
7,12,2,East
8,12,2,East
8,13,2,North
8,14,2,North
7,14,2,West
6,14,2,West
5,14,2,West
4,14,2,West
3,14,2,West
3,13,2,South
3,12,2,South
3,11,2,South
3,10,2,South
3,9,2,South
3,8,2,South
3,7,2,South
3,6,2,South
4,6,2,East
5,6,1,East
5,5,1,South
5,4,1,South
6,4,1,East
7,4,1,East
7,3,1,South
8,3,1,East
9,3,1,East
10,3,1,East
11,3,1,East
12,3,1,East
12,4,1,North
12,5,1,North
12,6,1,North
