@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R4

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
15,10,1,527,East
7,14,2,367,West
4,5,3,172,West
14,5,4,-13,West
23,15,3,160,West
15,6,3,173,West
17,11,3,150,West
12,12,2,328,West
7,3,3,178,West
17,11,3,150,West
13,3,1,556,West
12,3,3,183,West
5,3,1,548,West
9,3,3,180,West
10,3,1,553,West
10,12,2,326,West
13,10,2,344,West
6,6,2,316,West
10,3,1,553,West
12,3,3,183,West
14,5,4,-13,West
5,5,3,173,West
5,6,2,369,West
6,12,3,174,West
16,11,1,536,West
7,6,2,317,West
6,6,2,370,West
16,6,1,534,West
12,14,4,-12,West
14,6,1,532,West
4,5,3,172,West
2,3,1,545,West
5,3,3,176,West
10,12,2,326,West
13,3,1,556,West
12,12,2,328,West
19,11,3,152,West
9,6,2,319,West
7,6,2,317,West
12,14,4,-12,West
4,8,4,-13,West
20,15,3,157,West
12,3,1,555,West
16,6,3,174,West
21,15,3,158,West
6,5,3,174,West
13,10,2,344,West
15,6,3,173,West
5,6,2,369,West
8,3,1,551,West
11,6,2,369,West
16,6,2,345,West
12,12,2,328,West
5,3,1,548,West
16,11,3,149,West
14,6,3,172,West
7,12,3,175,West
11,12,3,179,West
18,11,3,151,West
16,11,1,536,West
12,12,3,180,West
10,6,2,368,West
3,9,2,364,West
10,3,1,553,West
22,14,4,-36,West
9,6,2,367,West
13,6,3,171,West
17,11,3,150,West
12,12,2,328,West
9,12,3,177,West
12,12,2,328,West
22,14,4,-36,West
1,6,1,511,West
1,3,1,544,West
15,6,1,533,West
2,5,3,170,West
11,14,4,-13,West
13,11,2,332,West
7,14,2,367,West
11,3,3,182,West
20,15,3,157,West
13,11,2,330,West
4,3,1,547,West
6,5,3,174,West
5,5,3,173,West
