@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R3

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
6,6,1,384,West
13,8,2,-9,West
12,4,2,573,West
8,6,3,386,West
9,9,7,384,West
3,7,3,188,West
12,7,11,567,West
2,7,2,179,West
9,5,7,556,West
12,4,2,573,West
2,7,2,177,West
12,7,11,567,West
6,4,4,558,West
2,7,3,173,West
12,5,10,559,West
13,3,1,569,West
6,4,4,558,West
11,5,9,558,West
10,7,10,565,West
6,6,1,384,West
11,4,2,572,West
13,3,10,568,West
2,7,3,171,West
8,6,3,386,West
7,6,2,385,West
10,5,8,557,West
13,8,2,-9,West
6,5,6,549,West
6,4,4,558,West
4,7,3,191,West
6,5,6,549,West
7,4,6,559,West
10,6,5,388,West
3,7,3,190,West
2,7,3,173,West
5,4,4,557,West
8,5,7,555,West
2,7,3,173,West
12,5,10,559,West
9,3,2,569,West
2,7,2,177,West
6,5,6,549,West
12,10,3,0,Stop
12,10,3,0,Stop
1,6,7,0,Stop
1,6,7,0,Stop
12,10,3,0,Stop
12,10,3,0,Stop
1,6,7,0,Stop
12,10,3,0,Stop
12,10,3,0,Stop
12,10,3,0,Stop
12,10,3,0,Stop
12,10,3,0,Stop
12,10,3,0,Stop
12,10,3,0,Stop
12,10,3,0,Stop
12,10,3,0,Stop
12,10,3,0,Stop
12,10,3,0,Stop
12,10,3,0,Stop
1,6,7,0,Stop
1,6,7,0,Stop
12,10,3,0,Stop
1,6,7,0,Stop
12,10,3,0,Stop
1,6,7,0,Stop
1,6,7,0,Stop
12,10,3,0,Stop
12,10,3,0,Stop
13,9,3,566,North
6,14,2,184,North
2,6,4,-3,North
13,4,3,566,North
12,11,3,-1,North
9,4,3,386,North
9,7,3,382,North
4,7,13,577,North
10,4,6,577,North
7,12,3,187,North
4,7,13,577,North
4,7,12,578,North
13,5,3,565,North
7,12,3,187,North
13,9,3,566,North
12,12,1,-2,North
13,9,3,566,North
4,6,15,580,North
7,12,3,187,North
8,5,8,582,North
7,12,3,187,North
13,9,3,566,North
13,4,4,570,North
13,4,3,569,North
4,8,11,576,North
13,5,3,565,North
12,11,3,-1,North
3,10,9,571,North
3,12,9,379,South
4,9,15,585,South
4,5,15,581,South
13,3,3,568,South
3,8,2,375,South
3,10,5,377,South
12,12,5,196,South
3,8,2,375,South
14,10,6,194,South
14,8,4,192,South
3,9,4,376,South
4,6,15,582,South
7,11,3,190,South
7,11,3,190,South
10,12,6,194,South
14,10,6,194,South
4,13,10,381,South
3,7,10,574,South
6,3,3,190,South
4,7,15,583,South
9,6,3,383,South
8,7,2,379,South
9,3,7,579,South
10,11,4,193,South
13,3,3,568,South
14,8,4,192,South
13,3,3,568,South
9,6,3,383,South
10,8,5,570,East
11,4,5,576,East
14,11,6,195,East
8,3,1,188,East
6,11,5,565,East
3,6,2,-4,East
8,11,5,563,East
7,3,2,189,East
3,6,2,-4,East
13,8,4,567,East
8,11,5,563,East
6,11,5,565,East
13,8,4,567,East
12,8,4,568,East
6,6,2,-7,East
8,3,1,188,East
10,3,6,578,East
10,3,6,578,East
13,3,5,573,East
10,8,5,570,East
9,5,8,581,East
9,3,3,387,East
13,3,5,573,East
14,11,6,195,East
4,11,7,569,East
5,6,2,-6,East
13,8,4,567,East
8,11,5,563,East
4,10,16,586,West
6,11,2,189,West
4,6,2,574,West
11,7,4,386,West
4,6,2,574,West
8,8,3,380,West
11,7,4,386,West
9,12,5,193,West
6,12,3,186,West
3,13,10,380,West
11,7,4,386,West
10,12,5,194,West
13,8,4,191,West
10,12,5,194,West
10,12,6,196,West
8,11,2,191,West
4,14,12,382,West
7,12,3,191,West
10,12,5,194,West
10,7,3,385,West
9,11,3,192,West
12,8,8,388,West
3,13,10,380,West
13,8,4,191,West
7,11,2,190,West
10,7,3,385,West
10,12,5,194,West
9,7,3,384,West
