@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R6-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,6-weka.filters.unsupervised.attribute.Remove-R6'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute score2 numeric

@data
10,11,1,6,562,561
10,10,1,5,561,560
10,9,1,3,560,559
9,9,1,3,559,558
8,9,1,3,558,557
7,9,1,2,557,556
6,9,1,2,556,555
6,10,1,2,555,554
6,11,1,3,554,553
7,11,1,1,553,752
1,18,4,13,0,-1
1,18,4,14,-1,-2
2,18,4,12,-2,-3
3,18,4,12,-3,-4
4,18,4,10,-4,-5
3,18,4,10,-5,-6
2,18,4,12,-6,-7
1,18,4,12,-7,-8
1,17,4,10,-8,-9
1,16,4,8,-9,-10
1,15,4,7,-10,-11
1,14,4,7,-11,-12
1,13,4,7,-12,-13
1,12,4,7,-13,-14
1,11,4,7,-14,-15
1,10,4,7,-15,-16
1,9,4,6,-16,-17
1,8,4,4,-17,-18
1,7,4,4,-18,-19
1,6,4,4,-19,-20
2,6,4,2,-20,-21
3,6,4,2,-21,-22
4,6,4,2,-22,-23
5,6,4,4,-23,-24
6,6,4,4,-24,-25
7,6,4,6,-25,-26
8,6,4,4,-26,-27
9,6,4,2,-27,-28
10,6,4,2,-28,-29
10,5,3,6,171,170
10,4,3,6,170,169
9,4,3,6,169,168
8,4,3,5,168,167
8,3,3,6,167,166
7,3,3,4,166,165
6,3,3,4,165,164
5,3,3,6,164,163
5,4,3,4,163,162
5,5,3,4,162,161
5,6,3,2,161,160
5,7,2,14,360,359
6,7,2,12,359,358
6,7,2,13,358,357
6,6,2,13,357,356
7,6,2,12,356,355
8,6,2,11,355,354
9,6,2,9,354,353
10,6,2,9,353,352
10,7,2,9,352,351
10,8,2,10,351,350
10,9,2,10,350,349
10,10,2,11,349,348
10,11,2,13,348,347
10,12,2,15,347,346
11,12,2,14,346,345
12,12,2,13,345,344
13,12,2,12,344,343
13,11,2,10,343,342
13,10,2,10,342,341
13,9,2,8,341,340
13,8,2,6,340,339
13,7,2,4,339,338
13,6,2,4,338,337
13,5,2,2,337,336
13,4,2,1,336,535
13,3,1,10,535,534
14,3,1,8,534,533
15,3,1,7,533,532
16,3,1,7,532,531
17,3,1,5,531,530
18,3,1,5,530,529
19,3,1,4,529,528
20,3,1,2,528,527
21,3,1,2,527,526
22,3,1,2,526,525
23,3,1,2,525,524
24,3,1,2,524,523
