@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute minGhost numeric
@attribute ticks numeric
@attribute class {Stop,North,South,East,West}

@data
5,34,North
5,35,North
3,36,East
1,37,North
15,38,East
14,39,West
14,40,South
13,41,South
13,42,West
13,43,South
11,44,South
10,45,South
8,46,South
8,47,West
8,48,South
8,49,South
7,50,West
6,51,West
6,52,West
4,53,North
4,54,West
4,55,North
4,56,South
4,57,South
4,58,West
2,59,North
7,0,Stop
7,1,South
5,2,South
3,3,East
3,4,East
3,5,East
3,6,South
3,7,East
3,8,East
3,9,East
1,10,East
2,11,East
2,12,North
1,13,East
4,14,North
4,15,South
2,16,East
12,17,East
11,18,South
9,19,South
10,20,South
10,21,South
9,22,South
10,23,South
10,24,South
10,25,South
10,26,South
9,27,South
9,28,South
9,29,South
8,30,South
7,31,South
7,32,South
6,33,South
6,34,South
7,35,South
7,36,South
8,37,South
8,38,South
7,39,South
8,40,South
7,41,South
6,42,South
5,43,South
6,44,South
6,45,South
7,46,South
7,47,South
7,48,South
7,49,South
8,50,South
7,51,South
8,52,South
9,53,South
8,54,South
9,55,South
8,56,South
8,57,South
9,58,South
10,59,South
9,60,South
10,61,South
11,62,South
11,63,South
12,64,South
11,65,South
10,66,South
11,67,South
12,68,South
11,69,South
12,70,South
11,71,South
10,72,South
11,73,South
12,74,South
13,75,South
12,76,South
12,77,South
11,78,South
12,79,South
11,80,South
12,81,South
12,82,South
13,83,South
12,84,South
12,85,South
11,86,South
10,87,South
9,88,South
10,89,South
10,90,South
10,91,South
11,92,South
10,93,North
11,94,North
11,95,North
11,96,North
12,97,North
10,98,South
10,99,South
9,100,South
9,101,South
9,102,South
10,103,South
10,104,North
9,105,South
8,106,South
9,107,South
9,108,North
10,109,North
10,110,South
10,111,North
11,112,North
11,113,South
11,114,North
10,115,South
10,116,South
10,117,South
11,118,South
11,119,South
12,120,South
11,121,South
11,122,South
12,123,South
10,124,North
10,125,North
10,126,North
11,127,North
11,128,North
11,129,West
11,130,North
9,131,North
9,132,West
9,133,West
8,134,West
8,135,West
6,136,West
5,137,South
5,138,West
3,139,North
2,140,West
7,0,Stop
6,1,South
5,2,South
5,3,East
3,4,South
1,5,East
6,6,East
6,7,South
5,8,East
5,9,East
5,10,East
5,11,East
4,12,South
3,13,South
2,14,South
2,15,South
9,16,North
7,17,North
6,18,North
5,19,North
4,20,East
4,21,East
3,22,East
2,23,North
3,24,North
2,25,North
3,26,North
2,27,South
2,28,South
2,29,South
3,30,South
2,31,South
3,32,South
2,33,North
3,34,North
3,35,South
3,36,North
3,37,South
3,38,South
2,39,South
3,40,South
1,41,North
7,0,Stop
5,1,South
4,2,South
4,3,East
4,4,South
3,5,North
3,6,East
1,7,South
4,8,East
4,9,South
4,10,West
4,11,East
2,12,West
3,13,East
2,14,West
2,15,East
3,16,East
3,17,West
3,18,West
3,19,East
3,20,North
3,21,North
3,22,South
3,23,North
3,24,East
3,25,South
3,26,North
2,27,East
2,28,East
1,29,South
10,30,East
10,31,South
10,32,South
8,33,South
8,34,South
7,35,South
6,36,West
5,37,West
3,38,West
2,39,West
1,40,West
17,41,West
15,42,North
14,43,East
12,44,East
12,45,East
12,46,East
12,47,South
12,48,East
12,49,North
10,50,North
9,51,East
9,52,East
8,53,East
8,54,South
8,55,East
7,56,South
6,57,South
6,58,South
7,59,South
7,60,South
7,61,South
8,62,South
7,63,South
7,64,North
8,65,North
9,66,North
7,67,North
5,68,East
5,69,East
5,70,East
5,71,East
3,72,South
5,73,South
5,74,North
5,75,North
3,76,East
3,77,East
5,78,East
4,79,North
4,80,North
4,81,North
2,82,West
3,83,South
2,84,North
2,85,West
2,86,West
2,87,South
1,88,West
7,0,Stop
6,1,South
4,2,South
3,3,East
3,4,East
3,5,South
2,6,East
2,7,East
2,8,South
1,9,East
4,10,East
2,11,North
1,12,North
7,13,West
7,14,South
7,15,South
5,16,West
5,17,West
4,18,West
5,19,East
4,20,West
4,21,East
4,22,West
6,23,East
6,24,West
4,25,West
3,26,West
2,27,South
1,28,South
15,29,South
15,30,North
14,31,North
14,32,North
14,33,East
12,34,East
12,35,East
12,36,East
12,37,East
10,38,East
10,39,North
11,40,South
11,41,North
10,42,East
10,43,South
10,44,East
8,45,East
9,46,North
9,47,South
8,48,South
9,49,South
9,50,North
8,51,North
10,52,North
10,53,South
10,54,South
8,55,South
6,56,South
6,57,East
5,58,East
4,59,South
5,60,South
4,61,South
4,62,South
5,63,South
6,64,South
7,65,South
6,66,South
4,67,North
5,68,North
6,69,North
4,70,North
4,71,East
2,72,East
1,73,East
7,0,Stop
5,1,South
5,2,South
5,3,South
5,4,South
5,5,North
5,6,East
3,7,East
2,8,East
2,9,East
6,10,South
6,11,South
6,12,East
6,13,East
5,14,East
3,15,East
3,16,East
1,17,North
3,18,North
3,19,South
3,20,South
3,21,East
1,22,East
1,23,South
15,24,North
13,25,South
13,26,South
12,27,South
11,28,South
10,29,South
11,30,South
10,31,South
11,32,South
10,33,South
9,34,South
10,35,South
11,36,South
12,37,South
11,38,South
10,39,South
11,40,South
10,41,South
9,42,South
8,43,South
7,44,South
6,45,South
6,46,South
5,47,South
5,48,South
4,49,South
5,50,South
5,51,South
4,52,South
5,53,South
6,54,South
7,55,South
8,56,South
9,57,South
8,58,South
7,59,South
7,60,South
8,61,South
9,62,South
10,63,South
9,64,South
9,65,South
8,66,South
9,67,South
10,68,South
11,69,South
11,70,South
11,71,South
11,72,South
12,73,South
11,74,South
12,75,South
11,76,South
10,77,South
9,78,South
8,79,South
9,80,South
9,81,South
9,82,South
8,83,South
8,84,South
9,85,South
8,86,South
7,87,South
8,88,South
7,89,South
7,90,South
6,91,South
6,92,South
5,93,South
6,94,South
5,95,South
4,96,South
3,97,South
4,98,South
2,99,North
3,100,North
2,101,North
2,102,West
2,103,North
1,104,South
7,0,Stop
7,1,South
7,2,South
7,3,South
7,4,South
7,5,South
7,6,South
7,7,East
7,8,East
7,9,East
6,10,East
4,11,East
4,12,East
2,13,East
8,14,East
8,15,North
6,16,North
4,17,North
2,18,North
7,19,East
5,20,North
4,21,North
5,22,North
3,23,South
2,24,West
1,25,West
10,26,West
8,27,East
7,28,East
6,29,East
4,30,North
4,31,North
4,32,South
3,33,North
3,34,East
3,35,East
1,36,East
7,0,Stop
6,1,South
6,2,South
6,3,East
6,4,South
5,5,East
5,6,East
3,7,East
3,8,East
3,9,South
1,10,East
3,11,East
3,12,South
2,13,South
2,14,West
2,15,South
2,16,South
9,17,North
7,18,North
6,19,East
6,20,North
6,21,North
6,22,North
5,23,North
3,24,West
1,25,West
12,26,West
11,27,South
9,28,South
8,29,East
8,30,East
6,31,East
8,32,South
6,33,North
6,34,North
6,35,South
8,36,North
6,37,South
6,38,East
5,39,East
5,40,South
4,41,South
4,42,North
5,43,North
6,44,North
4,45,North
3,46,North
2,47,East
2,48,East
2,49,East
7,0,Stop
6,1,South
6,2,South
5,3,North
4,4,North
4,5,North
5,6,North
3,7,North
3,8,East
3,9,East
2,10,East
2,11,East
2,12,South
7,13,North
6,14,South
5,15,East
5,16,East
4,17,East
5,18,East
5,19,South
5,20,East
5,21,East
3,22,East
1,23,East
7,24,East
5,25,East
5,26,South
3,27,East
4,28,South
3,29,North
3,30,East
3,31,East
1,32,East
20,33,East
18,34,South
16,35,West
14,36,West
12,37,West
10,38,South
10,39,South
10,40,West
10,41,West
9,42,West
7,43,West
7,44,West
5,45,South
5,46,West
4,47,South
3,48,West
2,49,West
7,0,Stop
7,1,South
7,2,South
6,3,South
6,4,East
6,5,East
4,6,East
4,7,East
2,8,South
6,9,East
4,10,East
5,11,East
4,12,North
2,13,North
3,14,East
2,15,West
4,16,East
2,17,West
2,18,East
