@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R4

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute ticks numeric
@attribute class {Stop,North,South,East,West}

@data
12,7,1,42,South
12,7,1,43,South
12,7,1,44,South
12,7,1,45,South
12,7,1,46,South
12,7,1,47,South
12,7,1,48,South
12,7,1,49,South
12,7,1,50,South
12,7,1,51,South
12,7,1,52,South
12,7,1,53,South
12,7,1,54,South
12,7,1,55,South
12,7,1,56,South
12,7,1,57,South
12,7,1,58,South
12,7,1,59,South
12,7,1,60,South
12,7,1,61,South
12,7,1,62,South
12,7,1,63,South
12,7,1,64,South
12,7,1,65,South
12,7,1,66,South
12,7,1,67,South
12,7,1,68,South
12,7,1,69,South
12,7,1,70,South
12,7,1,71,South
12,7,1,72,South
12,7,1,73,South
12,7,1,74,South
12,7,1,75,South
12,7,1,76,South
12,7,1,77,South
12,7,1,78,South
12,7,1,79,South
12,7,1,80,South
12,7,1,81,South
12,7,1,82,South
12,7,1,83,South
12,7,1,84,South
12,7,1,85,South
12,7,1,86,South
12,7,1,87,South
12,7,1,88,South
12,7,1,89,South
12,7,1,90,South
12,7,1,91,South
12,7,1,92,South
12,8,1,93,North
12,8,1,94,North
12,8,1,95,North
12,8,1,96,North
12,8,1,97,North
12,7,1,98,South
12,7,1,99,South
12,7,1,100,South
12,7,1,101,South
12,7,1,102,South
12,7,1,103,South
12,8,1,104,North
12,7,1,105,South
12,7,1,106,South
12,7,1,107,South
12,8,1,108,North
12,8,1,109,North
12,7,1,110,South
12,8,1,111,North
12,8,1,112,North
12,7,1,113,South
12,8,1,114,North
12,7,1,115,South
12,7,1,116,South
12,7,1,117,South
12,7,1,118,South
12,7,1,119,South
12,7,1,120,South
12,7,1,121,South
12,7,1,122,South
12,7,1,123,South
12,8,1,124,North
12,8,1,125,North
12,8,1,126,North
12,8,1,127,North
12,9,1,128,North
11,9,1,129,West
11,10,1,130,North
11,11,1,131,North
10,11,1,132,West
9,11,1,133,West
8,11,1,134,West
7,11,1,135,West
6,11,1,136,West
6,10,1,137,South
5,10,1,138,West
5,11,1,139,North
4,11,1,140,West
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
2,9,4,3,East
2,8,4,4,South
3,8,4,5,East
4,8,3,6,East
4,7,3,7,South
5,7,3,8,East
6,7,3,9,East
7,7,3,10,East
8,7,3,11,East
8,6,3,12,South
8,5,3,13,South
8,4,3,14,South
8,3,3,15,South
8,4,2,16,North
8,5,2,17,North
8,6,2,18,North
8,7,2,19,North
9,7,2,20,East
10,7,2,21,East
10,7,2,22,East
10,8,2,23,North
10,8,2,24,North
10,8,2,25,North
10,9,2,26,North
