@RELATION pacman_info
   @ATTRIBUTE pacmanX NUMERIC
   @ATTRIBUTE pacmanY NUMERIC
   @ATTRIBUTE livingGhosts NUMERIC
   @ATTRIBUTE minGhost NUMERIC
   @ATTRIBUTE ticks NUMERIC
   @ATTRIBUTE class {Stop, North, South, East, West}

@data
9,7,1,3,42,East
10,7,1,3,43,East
10,7,1,4,44,East
10,8,1,2,45,North
10,9,1,4,46,North
10,8,1,2,47,South
10,7,1,2,48,South
10,8,1,4,49,North
10,7,1,2,50,South
10,7,1,3,51,South
10,7,1,3,52,South
10,7,1,2,53,South
10,7,1,3,54,South
10,7,1,2,55,South
10,7,1,3,56,South
10,7,1,4,57,South
10,7,1,5,58,South
10,7,1,4,59,South
10,7,1,5,60,South
10,7,1,4,61,South
10,8,1,4,62,North
10,8,1,3,63,North
10,9,1,4,64,North
10,8,1,2,65,South
10,8,1,3,66,South
10,8,1,2,67,South
10,8,1,3,68,South
10,8,1,3,69,South
10,7,1,2,70,South
10,7,1,2,71,South
10,7,1,3,72,South
10,7,1,4,73,South
10,7,1,3,74,South
10,8,1,5,75,North
10,7,1,4,76,South
10,7,1,4,77,South
10,7,1,5,78,South
10,7,1,6,79,South
10,7,1,5,80,South
10,8,1,6,81,North
10,7,1,4,82,South
10,7,1,3,83,South
10,7,1,4,84,South
10,7,1,5,85,South
10,7,1,4,86,South
10,6,1,4,87,South
10,7,1,4,88,North
10,6,1,6,89,South
10,7,1,4,90,North
10,8,1,6,91,North
10,7,1,5,92,South
10,7,1,6,93,South
10,7,1,7,94,South
10,7,1,8,95,South
10,8,1,8,96,North
10,8,1,9,97,North
10,7,1,7,98,South
10,7,1,8,99,South
10,7,1,8,100,South
10,7,1,9,101,South
10,7,1,9,102,South
10,8,1,9,103,North
10,8,1,10,104,North
10,7,1,8,105,South
10,6,1,10,106,South
10,7,1,10,107,North
10,8,1,9,108,North
10,9,1,9,109,North
11,9,1,7,110,East
11,10,1,8,111,North
11,9,1,8,112,South
12,9,1,6,113,East
13,9,1,6,114,East
14,9,1,4,115,East
14,8,1,5,116,South
14,9,1,5,117,North
15,9,1,5,118,East
15,8,1,3,119,South
15,7,1,3,120,South
15,8,1,3,121,North
15,7,1,2,122,South
1,11,4,7,0,Stop
1,10,4,5,1,South
1,9,4,5,2,South
1,8,4,3,3,South
2,8,4,3,4,East
