@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R3,5'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute class {Stop,North,South,East,West}

@data
8,7,5,North
9,7,4,East
10,7,4,East
10,7,3,East
10,8,2,North
10,8,3,North
10,8,2,North
10,9,3,North
10,8,2,South
10,8,2,South
10,8,2,South
10,8,3,South
10,7,2,South
10,7,3,South
10,8,2,North
10,9,3,North
10,8,3,South
10,9,3,North
10,8,3,South
10,8,3,South
10,8,2,South
10,8,3,South
10,9,1,North
1,11,7,Stop
1,10,5,South
1,9,4,South
2,9,4,East
2,8,4,South
2,9,3,North
3,9,3,East
3,8,1,South
4,8,4,East
4,7,4,South
3,7,4,West
4,7,4,East
3,7,2,West
4,7,3,East
3,7,2,West
4,7,2,East
5,7,3,East
4,7,3,West
3,7,3,West
4,7,3,East
4,8,3,North
4,9,3,North
4,8,3,South
4,9,3,North
5,9,3,East
5,8,3,South
5,9,3,North
6,9,2,East
7,9,2,East
7,8,1,South
8,8,10,East
8,7,10,South
8,6,10,South
8,5,8,South
8,4,8,South
8,3,7,South
7,3,6,West
6,3,5,West
5,3,3,West
4,3,2,West
3,3,1,West
2,3,17,West
2,4,15,North
3,4,14,East
4,4,12,East
5,4,12,East
6,4,12,East
6,3,12,South
7,3,12,East
7,4,12,North
7,5,10,North
8,5,9,East
9,5,9,East
10,5,8,East
10,4,8,South
11,4,8,East
11,3,7,South
11,3,6,South
11,3,6,South
11,3,7,South
11,3,7,South
11,3,7,South
11,3,8,South
11,3,7,South
11,4,7,North
11,4,8,North
11,4,9,North
11,5,7,North
12,5,5,East
13,5,5,East
14,5,5,East
15,5,5,East
15,4,3,South
15,3,5,South
15,4,5,North
15,5,5,North
16,5,3,East
17,5,3,East
18,5,5,East
18,6,4,North
18,7,4,North
18,8,4,North
17,8,2,West
17,7,3,South
17,8,2,North
16,8,2,West
15,8,2,West
15,7,2,South
14,7,1,West
1,11,7,Stop
1,10,6,South
1,9,4,South
2,9,3,East
3,9,3,East
3,8,3,South
4,8,2,East
5,8,2,East
5,7,2,South
6,7,1,East
7,7,4,East
7,8,2,North
7,9,1,North
6,9,7,West
6,8,7,South
6,7,7,South
5,7,5,West
4,7,5,West
3,7,4,West
4,7,5,East
3,7,4,West
4,7,4,East
3,7,4,West
4,7,6,East
3,7,6,West
2,7,4,West
1,7,3,West
1,6,2,South
1,5,1,South
1,4,15,South
1,5,15,North
1,6,14,North
1,7,14,North
2,7,14,East
3,7,12,East
4,7,12,East
5,7,12,East
6,7,12,East
7,7,10,East
7,8,10,North
7,7,11,South
7,8,11,North
8,8,10,East
8,7,10,South
9,7,10,East
10,7,8,East
10,8,9,North
10,7,9,South
10,7,8,South
10,6,9,South
10,7,9,North
10,7,8,North
10,8,10,North
10,7,10,South
10,6,10,South
10,5,8,South
10,4,6,South
11,4,6,East
11,4,5,East
11,3,4,South
11,3,5,South
11,3,4,South
11,3,4,South
11,3,5,South
11,3,6,South
11,3,7,South
11,3,6,South
11,4,4,North
11,4,5,North
11,4,6,North
11,5,4,North
12,5,4,East
13,5,2,East
14,5,1,East
1,11,7,Stop
1,10,5,South
1,10,5,South
1,10,5,South
1,10,5,South
1,11,5,North
2,11,5,East
3,11,3,East
4,11,2,East
5,11,2,East
5,10,6,South
5,9,6,South
6,9,6,East
7,9,6,East
8,9,5,East
9,9,3,East
10,9,3,East
10,10,1,North
10,11,3,North
10,10,3,South
10,9,3,South
11,9,3,East
12,9,1,East
12,8,1,South
12,9,15,North
12,8,13,South
12,7,13,South
12,7,12,South
12,7,11,South
12,7,10,South
12,7,11,South
12,7,10,South
12,7,11,South
12,7,10,South
12,7,9,South
12,7,10,South
12,7,11,South
12,7,12,South
12,7,11,South
12,7,10,South
12,7,11,South
12,7,10,South
12,7,9,South
12,7,8,South
12,7,7,South
12,7,6,South
12,7,6,South
12,7,5,South
12,7,5,South
12,7,4,South
12,7,5,South
12,7,5,South
12,7,4,South
12,7,5,South
12,7,6,South
12,7,7,South
12,7,8,South
12,7,9,South
12,7,8,South
12,7,7,South
12,7,7,South
12,7,8,South
12,7,9,South
12,7,10,South
12,7,9,South
12,7,9,South
12,7,8,South
12,7,9,South
12,7,10,South
12,7,11,South
12,7,11,South
12,7,11,South
12,7,11,South
12,7,12,South
12,7,11,South
12,7,12,South
12,7,11,South
12,7,10,South
12,7,9,South
12,7,8,South
12,7,9,South
12,7,9,South
12,7,9,South
12,7,8,South
12,7,8,South
12,7,9,South
12,7,8,South
12,7,7,South
12,7,8,South
12,7,7,South
12,7,7,South
12,7,6,South
12,7,6,South
12,7,5,South
12,7,6,South
12,7,5,South
12,7,4,South
12,7,3,South
12,7,4,South
12,8,2,North
12,8,3,North
12,9,2,North
11,9,2,West
11,10,2,North
11,9,1,South
1,11,7,Stop
1,10,7,South
1,9,7,South
1,8,7,South
1,7,7,South
1,6,7,South
1,5,7,South
2,5,7,East
3,5,7,East
4,5,7,East
5,5,6,East
6,5,4,East
7,5,4,East
8,5,2,East
9,5,8,East
9,6,8,North
9,7,6,North
9,8,4,North
9,9,2,North
10,9,7,East
10,10,5,North
10,10,4,North
10,10,5,North
10,9,3,South
9,9,2,West
8,9,1,West
7,9,10,West
8,9,8,East
9,9,7,East
10,9,6,East
10,10,4,North
10,11,4,North
10,10,4,South
10,11,3,North
11,11,3,East
12,11,3,East
13,11,1,East
1,11,7,Stop
1,10,6,South
1,9,6,South
2,9,6,East
2,8,6,South
3,8,5,East
4,8,5,East
5,8,3,East
6,8,3,East
6,7,3,South
7,7,1,East
8,7,3,East
8,6,3,South
8,5,2,South
7,5,2,West
7,4,2,South
7,3,2,South
7,4,9,North
7,5,7,North
8,5,6,East
8,6,6,North
