@RELATION pacman_info

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE width NUMERIC
@ATTRIBUTE height NUMERIC
@ATTRIBUTE g1Living {True, False}
@ATTRIBUTE g2Living {True, False}
@ATTRIBUTE g3Living {True, False}
@ATTRIBUTE g4Living {True, False}
@ATTRIBUTE livingGhosts NUMERIC
@ATTRIBUTE g1X NUMERIC
@ATTRIBUTE g1Y NUMERIC
@ATTRIBUTE g2X NUMERIC
@ATTRIBUTE g2Y NUMERIC
@ATTRIBUTE g3X NUMERIC
@ATTRIBUTE g3Y NUMERIC
@ATTRIBUTE g4X NUMERIC
@ATTRIBUTE g4Y NUMERIC
@ATTRIBUTE g1D NUMERIC
@ATTRIBUTE g2D NUMERIC
@ATTRIBUTE g3D NUMERIC
@ATTRIBUTE g4D NUMERIC
@ATTRIBUTE minGhost NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score2 NUMERIC
@ATTRIBUTE class {Stop, North, South, East, West}

@data
23,6,30,20,False,False,False,True,1,1,1,3,1,5,1,25,7,-1,-1,-1,3,3,518,517,East
24,6,30,20,False,False,False,True,1,1,1,3,1,5,1,25,7,-1,-1,-1,2,2,517,516,East
25,6,30,20,False,False,False,True,1,1,1,3,1,5,1,25,7,-1,-1,-1,1,1,516,715,East
1,18,30,20,True,True,True,True,4,5,9,11,3,17,6,25,7,13,25,28,35,13,0,-1,Stop
1,18,30,20,True,True,True,True,4,4,9,11,4,17,5,24,7,12,24,29,34,12,-1,-2,Stop
1,18,30,20,True,True,True,True,4,5,9,10,4,17,5,24,8,13,23,29,33,13,-2,-3,Stop
1,17,30,20,True,True,True,True,4,5,9,10,3,17,6,25,8,12,23,27,33,12,-3,-4,South
1,16,30,20,True,True,True,True,4,5,10,10,4,18,6,24,8,10,21,27,31,10,-4,-5,South
1,15,30,20,True,True,True,True,4,6,10,10,5,18,5,24,9,10,19,27,29,10,-5,-6,South
1,14,30,20,True,True,True,True,4,6,10,10,5,18,5,24,9,9,18,26,28,9,-6,-7,South
1,13,30,20,True,True,True,True,4,6,9,11,5,18,4,24,9,9,18,26,27,9,-7,-8,South
1,12,30,20,True,True,True,True,4,6,8,10,5,18,5,23,9,9,16,24,25,9,-8,-9,South
1,11,30,20,True,True,True,True,4,6,9,10,5,19,5,24,9,7,15,24,25,7,-9,-10,South
1,10,30,20,True,True,True,True,4,6,8,10,5,19,5,23,9,7,14,23,23,7,-10,-11,South
1,9,30,20,True,True,True,True,4,6,9,10,4,19,5,24,9,5,14,22,23,5,-11,-12,South
1,8,30,20,True,True,True,True,4,6,9,10,4,19,4,25,9,6,13,22,25,6,-12,-13,South
1,7,30,20,True,True,True,True,4,6,8,10,3,18,4,25,9,6,13,20,26,6,-13,-14,South
1,6,30,20,True,True,True,True,4,5,8,9,3,18,3,25,10,6,11,20,28,6,-14,-15,South
2,6,30,20,True,True,True,True,4,5,7,8,3,17,3,26,10,4,9,18,28,4,-15,-16,East
3,6,30,20,True,True,True,True,4,5,8,7,3,17,3,25,10,4,7,17,26,4,-16,-17,East
4,6,30,20,True,True,True,True,4,6,8,8,3,17,3,24,10,4,7,16,24,4,-17,-18,East
4,7,30,20,True,True,True,True,4,6,9,9,3,17,3,23,10,4,9,17,22,4,-18,-19,North
5,7,30,20,True,True,True,True,4,6,10,8,3,17,4,23,11,4,7,15,22,4,-19,-20,East
5,8,30,20,True,True,True,True,4,6,9,9,3,18,4,22,11,2,9,17,20,2,-20,-21,North
5,9,30,20,True,True,True,True,4,6,10,9,3,19,4,22,11,2,10,19,19,2,-21,-22,North
5,10,30,20,True,True,True,True,4,6,9,9,4,19,5,22,10,2,10,19,17,2,-22,-23,North
6,10,30,20,True,True,True,True,4,5,9,9,4,18,5,22,11,2,9,17,17,2,-23,-24,East
6,9,30,20,True,True,True,True,4,5,8,8,4,18,4,23,11,2,7,17,19,2,-24,-25,South
5,9,30,20,True,True,True,True,4,4,8,9,4,18,5,22,11,2,9,17,19,2,-25,-26,West
5,8,30,20,True,True,True,True,4,4,8,9,4,17,5,22,11,1,8,15,20,1,-26,173,South
4,8,30,20,False,True,True,True,3,1,1,9,4,17,5,22,10,-1,9,16,20,9,173,172,West
3,8,30,20,False,True,True,True,3,1,1,9,4,18,5,21,10,-1,10,18,20,10,172,171,West
3,7,30,20,False,True,True,True,3,1,1,10,4,19,5,21,10,-1,10,18,21,10,171,170,South
3,6,30,20,False,True,True,True,3,1,1,10,4,19,4,21,10,-1,9,18,22,9,170,169,South
3,5,30,20,False,True,True,True,3,1,1,10,5,20,4,21,10,-1,7,18,23,7,169,168,South
4,5,30,20,False,True,True,True,3,1,1,11,5,20,4,20,10,-1,7,17,21,7,168,167,East
3,5,30,20,False,True,True,True,3,1,1,11,4,19,4,20,11,-1,9,17,23,9,167,166,West
3,4,30,20,False,True,True,True,3,1,1,10,4,19,4,19,11,-1,7,16,23,7,166,165,South
4,4,30,20,False,True,True,True,3,1,1,10,3,19,5,19,10,-1,7,16,21,7,165,164,East
5,4,30,20,False,True,True,True,3,1,1,9,3,18,5,20,10,-1,5,14,21,5,164,163,East
5,3,30,20,False,True,True,True,3,1,1,9,4,18,4,21,10,-1,5,14,23,5,163,162,South
6,3,30,20,False,True,True,True,3,1,1,9,5,18,4,20,10,-1,5,13,21,5,162,161,East
7,3,30,20,False,True,True,True,3,1,1,9,6,17,4,20,11,-1,5,11,21,5,161,160,East
8,3,30,20,False,True,True,True,3,1,1,10,6,16,4,19,11,-1,5,9,19,5,160,159,East
8,4,30,20,False,True,True,True,3,1,1,11,6,17,4,18,11,-1,5,9,17,5,159,158,North
8,5,30,20,False,True,True,True,3,1,1,11,6,17,4,18,10,-1,4,10,15,4,158,157,North
9,5,30,20,False,True,True,True,3,1,1,10,6,16,4,17,10,-1,2,8,13,2,157,156,East
10,5,30,20,False,True,True,True,3,1,1,10,7,16,4,18,10,-1,2,7,13,2,156,155,East
10,6,30,20,False,False,True,True,2,1,1,3,1,15,4,18,10,-1,-1,7,12,7,355,354,North
10,7,30,20,False,False,True,True,2,1,1,3,1,15,3,19,10,-1,-1,9,12,9,354,353,North
10,8,30,20,False,False,True,True,2,1,1,3,1,14,3,19,11,-1,-1,9,12,9,353,352,North
10,9,30,20,False,False,True,True,2,1,1,3,1,15,3,19,10,-1,-1,11,10,10,352,351,North
10,10,30,20,False,False,True,True,2,1,1,3,1,14,3,19,10,-1,-1,11,9,9,351,350,North
10,11,30,20,False,False,True,True,2,1,1,3,1,13,3,19,10,-1,-1,11,10,10,350,349,North
10,12,30,20,False,False,True,True,2,1,1,3,1,14,3,18,10,-1,-1,13,10,10,349,348,North
11,12,30,20,False,False,True,True,2,1,1,3,1,13,3,17,10,-1,-1,11,8,8,348,347,East
12,12,30,20,False,False,True,True,2,1,1,3,1,13,3,16,10,-1,-1,10,6,6,347,346,East
13,12,30,20,False,False,True,True,2,1,1,3,1,14,3,15,10,-1,-1,10,4,4,346,345,East
14,12,30,20,False,False,True,True,2,1,1,3,1,13,3,15,10,-1,-1,10,3,3,345,344,East
14,11,30,20,False,False,True,True,2,1,1,3,1,13,3,15,10,-1,-1,9,2,2,344,343,South
14,10,30,20,False,False,True,True,2,1,1,3,1,13,3,15,11,-1,-1,8,2,2,343,342,South
15,10,30,20,False,False,True,True,2,1,1,3,1,14,3,15,11,-1,-1,8,1,1,342,341,East
16,10,30,20,False,False,True,True,2,1,1,3,1,14,3,16,11,-1,-1,9,1,1,341,540,East
16,11,30,20,False,False,True,False,1,1,1,3,1,14,3,7,1,-1,-1,10,-1,10,540,539,North
15,11,30,20,False,False,True,False,1,1,1,3,1,15,3,7,1,-1,-1,8,-1,8,539,538,West
14,11,30,20,False,False,True,False,1,1,1,3,1,14,3,7,1,-1,-1,8,-1,8,538,537,West
13,11,30,20,False,False,True,False,1,1,1,3,1,13,3,7,1,-1,-1,8,-1,8,537,536,West
13,10,30,20,False,False,True,False,1,1,1,3,1,14,3,7,1,-1,-1,8,-1,8,536,535,South
13,9,30,20,False,False,True,False,1,1,1,3,1,13,3,7,1,-1,-1,6,-1,6,535,534,South
