@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R6-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,6-weka.filters.unsupervised.attribute.Remove-R3'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}
@attribute score2 numeric

@data
3,6,2,-21,East,-22
4,6,2,-22,East,-23
5,6,4,-23,East,-24
6,6,4,-24,East,-25
7,6,6,-25,East,-26
8,6,4,-26,East,-27
9,6,2,-27,East,-28
10,6,2,-28,East,-29
10,5,6,171,South,170
10,4,6,170,South,169
9,4,6,169,West,168
8,4,5,168,West,167
8,3,6,167,South,166
7,3,4,166,West,165
6,3,4,165,West,164
5,3,6,164,West,163
5,4,4,163,North,162
5,5,4,162,North,161
5,6,2,161,North,160
5,7,14,360,North,359
6,7,12,359,East,358
6,7,13,358,East,357
6,6,13,357,South,356
7,6,12,356,East,355
8,6,11,355,East,354
9,6,9,354,East,353
10,6,9,353,East,352
10,7,9,352,North,351
10,8,10,351,North,350
10,9,10,350,North,349
10,10,11,349,North,348
10,11,13,348,North,347
10,12,15,347,North,346
11,12,14,346,East,345
12,12,13,345,East,344
13,12,12,344,East,343
13,11,10,343,South,342
13,10,10,342,South,341
13,9,8,341,South,340
13,8,6,340,South,339
13,7,4,339,South,338
13,6,4,338,South,337
13,5,2,337,South,336
13,4,1,336,South,535
13,3,10,535,South,534
14,3,8,534,East,533
15,3,7,533,East,532
16,3,7,532,East,531
17,3,5,531,East,530
18,3,5,530,East,529
19,3,4,529,East,528
20,3,2,528,East,527
21,3,2,527,East,526
22,3,2,526,East,525
23,3,2,525,East,524
24,3,2,524,East,523
