@RELATION pacman_info
   @ATTRIBUTE pacmanX NUMERIC
   @ATTRIBUTE pacmanY NUMERIC
   @ATTRIBUTE livingGhosts NUMERIC
   @ATTRIBUTE minGhost NUMERIC
   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE pacmanX2 NUMERIC
   @ATTRIBUTE pacmanY2 NUMERIC
   @ATTRIBUTE livingGhosts2 NUMERIC
   @ATTRIBUTE score2 NUMERIC
   @ATTRIBUTE class {Stop, North, South, East, West}

@data
10,9,2,4,387,10,8,2,386,South
10,8,2,4,386,10,7,2,385,South
10,7,2,4,385,10,6,2,484,South
10,6,2,4,384,10,5,2,383,South
10,5,2,2,383,11,5,2,382,South
11,5,2,2,382,10,5,2,381,East
10,5,2,3,381,9,5,2,380,West
9,5,2,3,380,9,4,2,379,West
9,4,2,3,379,9,3,2,378,South
9,3,2,2,378,9,3,2,377,South
9,3,2,1,377,9,3,2,376,South
9,3,2,2,376,9,3,2,375,South
9,3,2,3,375,9,3,2,374,South
9,3,2,2,374,10,3,2,373,South
10,3,2,1,373,11,3,1,572,East
11,3,1,7,572,11,3,1,571,East
11,3,1,8,571,11,4,1,570,East
11,4,1,7,570,11,5,1,569,North
11,5,1,5,569,12,5,1,568,North
12,5,1,3,568,13,5,1,567,East
13,5,1,5,567,14,5,1,566,East
14,5,1,6,566,14,6,1,565,East
14,6,1,4,565,14,7,1,564,North
14,7,1,4,564,14,8,1,563,North
14,8,1,2,563,14,9,1,562,North
1,6,4,7,0,1,6,4,-1,Stop
1,6,4,6,-1,1,6,4,-2,Stop
1,6,4,5,-2,2,6,4,-3,Stop
2,6,4,4,-3,3,6,4,-4,East
3,6,4,3,-4,4,6,4,-5,East
4,6,4,3,-5,5,6,4,-6,East
5,6,4,2,-6,6,6,4,-7,East
6,6,4,1,-7,7,6,3,192,East
7,6,3,4,192,8,6,3,191,East
8,6,3,4,191,9,6,3,190,East
9,6,3,2,190,10,6,3,189,East
10,6,3,4,189,11,6,3,188,East
11,6,3,4,188,12,6,3,187,East
12,6,3,5,187,13,6,3,186,East
13,6,3,4,186,14,6,3,185,East
14,6,3,4,185,15,6,3,184,East
15,6,3,2,184,16,6,3,183,East
16,6,3,4,183,16,5,3,182,East
16,5,3,2,182,16,4,3,181,South
16,4,3,2,181,16,3,3,180,South
16,3,3,2,180,15,3,3,179,South
15,3,3,2,179,14,3,3,178,West
14,3,3,1,178,13,3,3,177,West
13,3,3,1,177,12,3,2,376,West
12,3,2,3,376,11,3,2,375,West
11,3,2,3,375,10,3,2,374,West
10,3,2,4,374,9,3,2,373,West
9,3,2,6,373,8,3,2,372,West
8,3,2,7,372,8,4,2,371,West
8,4,2,7,371,8,4,2,370,North
