@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R3-4,8'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute score numeric
@attribute pacmanX2 numeric
@attribute pacmanY2 numeric
@attribute score2 numeric
@attribute class {Stop,North,South,East,West}

@data
5,11,-7,5,10,-8,East
5,10,-8,5,9,-9,South
5,9,-9,6,9,190,South
6,9,190,6,10,189,East
6,10,189,6,11,188,North
6,11,188,7,11,187,North
7,11,187,8,11,386,East
8,11,386,9,11,385,East
9,11,385,10,11,384,East
10,11,384,10,10,383,East
10,10,383,10,9,382,South
10,9,382,11,9,381,South
11,9,381,12,9,380,East
12,9,380,13,9,379,East
13,9,379,14,9,378,East
14,9,378,14,8,377,East
14,8,377,14,7,376,South
14,7,376,14,6,575,South
14,6,575,14,5,574,South
14,5,574,13,5,573,South
13,5,573,12,5,572,West
12,5,572,11,5,571,West
11,5,571,10,5,570,West
10,5,570,9,5,569,West
9,5,569,8,5,568,West
8,5,568,7,5,567,West
7,5,567,6,5,766,West
1,11,0,1,11,-1,Stop
1,11,-1,1,11,-2,Stop
1,11,-2,2,11,-3,Stop
2,11,-3,3,11,-4,East
3,11,-4,4,11,-5,East
4,11,-5,5,11,-6,East
5,11,-6,6,11,-7,East
6,11,-7,7,11,-8,East
7,11,-8,8,11,191,East
8,11,191,9,11,390,East
9,11,390,10,11,389,East
10,11,389,10,10,388,East
10,10,388,10,9,387,South
10,9,387,10,8,386,South
10,8,386,10,7,385,South
10,7,385,10,6,484,South
10,6,384,10,5,383,South
10,5,383,11,5,382,South
11,5,382,10,5,381,East
10,5,381,9,5,380,West
9,5,380,9,4,379,West
9,4,379,9,3,378,South
9,3,378,9,3,377,South
9,3,377,9,3,376,South
9,3,376,9,3,375,South
9,3,375,9,3,374,South
9,3,374,10,3,373,South
10,3,373,11,3,572,East
11,3,572,11,3,571,East
11,3,571,11,4,570,East
11,4,570,11,5,569,North
11,5,569,12,5,568,North
12,5,568,13,5,567,East
13,5,567,14,5,566,East
14,5,566,14,6,565,East
14,6,565,14,7,564,North
14,7,564,14,8,563,North
14,8,563,14,9,562,North
1,6,0,1,6,-1,Stop
1,6,-1,1,6,-2,Stop
1,6,-2,2,6,-3,Stop
2,6,-3,3,6,-4,East
3,6,-4,4,6,-5,East
4,6,-5,5,6,-6,East
5,6,-6,6,6,-7,East
6,6,-7,7,6,192,East
7,6,192,8,6,191,East
8,6,191,9,6,190,East
9,6,190,10,6,189,East
10,6,189,11,6,188,East
11,6,188,12,6,187,East
12,6,187,13,6,186,East
13,6,186,14,6,185,East
14,6,185,15,6,184,East
15,6,184,16,6,183,East
16,6,183,16,5,182,East
16,5,182,16,4,181,South
16,4,181,16,3,180,South
16,3,180,15,3,179,South
15,3,179,14,3,178,West
14,3,178,13,3,177,West
13,3,177,12,3,376,West
12,3,376,11,3,375,West
11,3,375,10,3,374,West
10,3,374,9,3,373,West
9,3,373,8,3,372,West
8,3,372,8,4,371,West
8,4,371,8,4,370,North
8,4,370,8,4,369,North
8,4,369,8,4,368,North
8,4,368,8,4,367,North
8,4,367,7,4,366,North
7,4,366,6,4,365,West
6,4,365,5,4,364,West
5,4,364,4,4,363,West
4,4,363,3,4,362,West
3,4,362,2,4,561,West
2,4,561,3,4,560,West
3,4,560,4,4,559,East
4,4,559,5,4,558,East
5,4,558,6,4,557,East
6,4,557,7,4,556,East
7,4,556,8,4,555,East
8,4,555,9,4,554,East
9,4,554,10,4,553,East
10,4,553,11,4,552,East
11,4,552,12,4,551,East
12,4,551,13,4,550,East
13,4,550,14,4,549,East
14,4,549,15,4,548,East
15,4,548,16,4,547,East
16,4,547,17,4,546,East
17,4,546,18,4,545,East
18,4,545,18,5,544,East
18,5,544,18,6,543,North
18,6,543,17,6,542,North
17,6,542,16,6,541,West
16,6,541,15,6,540,West
15,6,540,14,6,539,West
14,6,539,14,5,538,West
14,5,538,14,4,737,South
1,6,0,1,6,-1,Stop
1,6,-1,1,6,-2,Stop
1,6,-2,1,6,-3,Stop
1,6,-3,2,6,-4,Stop
2,6,-4,3,6,-5,East
3,6,-5,4,6,-6,East
4,6,-6,5,6,-7,East
5,6,-7,6,6,-8,East
6,6,-8,7,6,-9,East
7,6,-9,8,6,190,East
8,6,190,9,6,189,East
9,6,189,10,6,188,East
10,6,188,11,6,187,East
11,6,187,12,6,186,East
12,6,186,13,6,185,East
13,6,185,14,6,184,East
14,6,184,15,6,183,East
15,6,183,16,6,382,East
16,6,382,16,5,381,East
16,5,381,16,4,380,South
16,4,380,16,3,379,South
16,3,379,15,3,378,South
15,3,378,14,3,377,West
14,3,377,13,3,376,West
13,3,376,12,3,375,West
12,3,375,11,3,574,West
11,3,574,10,3,573,West
10,3,573,9,3,572,West
9,3,572,8,3,571,West
8,3,571,7,3,570,West
7,3,570,6,3,569,West
6,3,569,6,4,768,West
