@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R4,22,24-weka.filters.supervised.attribute.ClassOrder-R1-C0'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute width numeric
@attribute g1Living {True,False}
@attribute g2Living {True,False}
@attribute g3Living {True,False}
@attribute g4Living {True,False}
@attribute livingGhosts numeric
@attribute g1X numeric
@attribute g1Y numeric
@attribute g2X numeric
@attribute g2Y numeric
@attribute g3X numeric
@attribute g3Y numeric
@attribute g4X numeric
@attribute g4Y numeric
@attribute g1D numeric
@attribute g2D numeric
@attribute g3D numeric
@attribute g4D numeric
@attribute score numeric
@attribute class {Stop,North,West,South,East}

@data
22,15,27,False,False,True,False,1,1,1,3,1,20,5,7,1,-1,-1,12,-1,544,East
22,16,27,False,False,True,False,1,1,1,3,1,20,4,7,1,-1,-1,14,-1,543,North
21,16,27,False,False,True,False,1,1,1,3,1,21,4,7,1,-1,-1,12,-1,542,West
20,16,27,False,False,True,False,1,1,1,3,1,21,3,7,1,-1,-1,14,-1,541,West
20,15,27,False,False,True,False,1,1,1,3,1,21,3,7,1,-1,-1,13,-1,540,South
20,14,27,False,False,True,False,1,1,1,3,1,21,3,7,1,-1,-1,12,-1,539,South
20,13,27,False,False,True,False,1,1,1,3,1,22,3,7,1,-1,-1,12,-1,538,South
20,12,27,False,False,True,False,1,1,1,3,1,21,3,7,1,-1,-1,10,-1,537,South
20,11,27,False,False,True,False,1,1,1,3,1,21,4,7,1,-1,-1,8,-1,536,South
20,10,27,False,False,True,False,1,1,1,3,1,22,4,7,1,-1,-1,8,-1,535,South
21,10,27,False,False,True,False,1,1,1,3,1,22,4,7,1,-1,-1,7,-1,534,East
22,10,27,False,False,True,False,1,1,1,3,1,22,4,7,1,-1,-1,6,-1,533,East
23,10,27,False,False,True,False,1,1,1,3,1,23,4,7,1,-1,-1,6,-1,532,East
23,9,27,False,False,True,False,1,1,1,3,1,24,4,7,1,-1,-1,6,-1,531,South
23,8,27,False,False,True,False,1,1,1,3,1,23,4,7,1,-1,-1,4,-1,530,South
23,7,27,False,False,True,False,1,1,1,3,1,23,5,7,1,-1,-1,2,-1,529,South
1,18,27,True,True,True,True,4,5,9,11,3,17,6,25,13,13,25,28,29,0,Stop
1,18,27,True,True,True,True,4,5,9,11,3,17,6,25,13,13,25,28,29,-1,Stop
1,17,27,True,True,True,True,4,5,9,11,3,17,6,25,13,12,24,27,28,-2,South
1,16,27,True,True,True,True,4,5,9,11,3,17,6,25,13,11,23,26,27,-3,South
1,15,27,True,True,True,True,4,5,9,11,3,17,6,25,13,10,22,25,26,-4,South
1,14,27,True,True,True,True,4,5,9,11,3,17,6,25,13,9,21,24,25,-5,South
1,13,27,True,True,True,True,4,5,9,11,3,17,6,25,13,8,20,23,24,-6,South
1,12,27,True,True,True,True,4,5,9,11,3,17,6,25,13,7,19,22,25,-7,South
