@relation pacman_info-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute x numeric
@attribute y numeric
@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
1,1,0.333333,0.4375,0.333333,0.363636,0.624183,North
1,1,0.333333,0.5,0.333333,0.409091,0.622549,North
1,1,0.333333,0.5625,0.333333,0.454545,0.620915,North
1,1,0.333333,0.625,0.333333,0.545455,0.619281,North
1,1,0.37037,0.625,0.333333,0.545455,0.617647,East
1,1,0.407407,0.625,0.333333,0.545455,0.616013,East
1,1,0.444444,0.625,0.333333,0.545455,0.614379,East
1,1,0.481481,0.625,0.333333,0.454545,0.612745,East
1,1,0.481481,0.5625,0.333333,0.363636,0.611111,South
1,1,0.481481,0.5,0.333333,0.318182,0.609477,South
1,1,0.481481,0.4375,0.333333,0.318182,0.607843,South
1,1,0.481481,0.375,0.333333,0.227273,0.606209,South
1,1,0.481481,0.3125,0.333333,0.227273,0.604575,South
1,1,0.481481,0.25,0.333333,0.181818,0.602941,South
1,1,0.518519,0.25,0.333333,0.181818,0.601307,East
1,1,0.555556,0.25,0.333333,0.136364,0.599673,East
1,1,0.592593,0.25,0.333333,0.090909,0.598039,East
1,1,0.592593,0.1875,0.333333,0,0.596405,South
1,1,0.592593,0.125,0,0.318182,0.921569,South
1,1,0.62963,0.125,0,0.318182,0.919935,East
1,1,0.666667,0.125,0,0.272727,0.918301,East
1,1,0.703704,0.125,0,0.272727,0.916667,East
1,1,0.740741,0.125,0,0.181818,0.915033,East
1,1,0.777778,0.125,0,0.181818,0.913399,East
1,1,0.814815,0.125,0,0.181818,0.911765,East
1,1,0.851852,0.125,0,0.181818,0.910131,East
1,1,0.888889,0.125,0,0.136364,0.908497,East
1,1,0.925926,0.125,0,0.136364,0.906863,East
1,1,0.962963,0.125,0,0.045455,0.905229,East
1,1,1,0.125,0,0.045455,0.903595,East
1,1,1,0.0625,0,0,0.901961,South
1,1,1,0,0,0,0.900327,South
1,1,0.962963,0,0,0.090909,0.898693,West
1,1,0.962963,0.0625,0,0,0.897059,North
1,1,0.962963,0.125,0,0,0.895425,North
0,0.666667,0.407407,0.5,1,0.090909,0.053922,Stop
0,0.666667,0.407407,0.5,1,0.136364,0.052288,Stop
0,0.666667,0.407407,0.5,1,0.090909,0.050654,Stop
0,0.666667,0.407407,0.5,1,0.045455,0.04902,Stop
0,0.666667,0.407407,0.5,1,0.045455,0.047386,Stop
0,0.666667,0.407407,0.5,1,0.090909,0.045752,Stop
0,0.666667,0.444444,0.5,1,0,0.044118,East
0,0.666667,0.481481,0.5,1,0,0.042484,East
0,0.666667,0.518519,0.5,1,0,0.04085,East
0,0.666667,0.555556,0.5,1,0.090909,0.039216,East
0,0.666667,0.592593,0.5,1,0.181818,0.037582,East
0,0.666667,0.62963,0.5,1,0.272727,0.035948,East
0,0.666667,0.592593,0.5,1,0.227273,0.034314,West
0,0.666667,0.555556,0.5,1,0.136364,0.03268,West
0,0.666667,0.518519,0.5,1,0.090909,0.031046,West
0,0.666667,0.481481,0.5,1,0.090909,0.029412,West
0,0.666667,0.481481,0.5625,1,0.090909,0.027778,North
0,0.666667,0.481481,0.625,1,0.090909,0.026144,North
0,0.666667,0.444444,0.625,1,0.045455,0.02451,West
0,0.666667,0.407407,0.625,1,0.045455,0.022876,West
0,0.666667,0.37037,0.625,1,0.045455,0.021242,West
0,0.666667,0.333333,0.625,1,0.045455,0.019608,West
0,0.666667,0.296296,0.625,1,0.045455,0.017974,West
0,0.666667,0.259259,0.625,1,0.136364,0.01634,West
0,0.666667,0.222222,0.625,1,0.090909,0.014706,West
0,0.666667,0.185185,0.625,1,0.045455,0.013072,West
0,0.666667,0.148148,0.625,1,0.045455,0.011438,West
0,0.666667,0.148148,0.6875,1,0.045455,0.009804,North
0,0.666667,0.185185,0.6875,1,0.045455,0.00817,East
0,0.666667,0.222222,0.6875,1,0.045455,0.006536,East
0,0.666667,0.259259,0.6875,1,0.136364,0.004902,East
0,0.666667,0.296296,0.6875,1,0.045455,0.003268,East
0,0.666667,0.296296,0.625,1,0.136364,0.001634,South
0,0.666667,0.259259,0.625,1,0.045455,0,West
0,0.666667,0.222222,0.625,0.666667,0.227273,0.325163,West
0,0.666667,0.185185,0.625,0.666667,0.318182,0.323529,West
0,0.666667,0.185185,0.6875,0.666667,0.318182,0.321895,North
0,0.666667,0.185185,0.75,0.666667,0.318182,0.320261,North
0,0.666667,0.185185,0.75,0.666667,0.272727,0.318627,North
0,0.666667,0.222222,0.75,0.666667,0.272727,0.316993,East
0,0.666667,0.259259,0.75,0.666667,0.272727,0.315359,East
0,0.666667,0.296296,0.75,0.666667,0.272727,0.313725,East
0,0.666667,0.333333,0.75,0.666667,0.227273,0.312092,East
0,0.666667,0.37037,0.75,0.666667,0.136364,0.310458,East
0,0.666667,0.407407,0.75,0.666667,0.045455,0.308824,East
0,0.666667,0.444444,0.75,0.333333,0.590909,0.633987,East
0,0.666667,0.481481,0.75,0.333333,0.590909,0.632353,East
0,0.666667,0.481481,0.6875,0.333333,0.545455,0.630719,South
0,0.666667,0.481481,0.625,0.333333,0.454545,0.629085,South
