@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R5,7,10,15,20,24-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.supervised.attribute.ClassOrder-R1-C0-weka.filters.supervised.attribute.ClassOrder-R1-C0-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute width numeric
@attribute height numeric
@attribute g2Living {True,False}
@attribute g4Living {True,False}
@attribute livingGhosts numeric
@attribute g1Y numeric
@attribute g2X numeric
@attribute g2Y numeric
@attribute g3X numeric
@attribute g4X numeric
@attribute g4Y numeric
@attribute g1D numeric
@attribute g2D numeric
@attribute g4D numeric
@attribute class {Stop,North,West,South,East}

@data
14,10,20,16,True,True,4,7,5,11,13,13,12,14,10,3,East
14,11,20,16,True,True,4,7,6,11,13,14,12,14,8,1,North
14,12,20,16,True,False,3,7,5,11,13,7,1,16,10,-1,North
13,12,20,16,True,False,3,7,5,11,13,7,1,16,9,-1,West
12,12,20,16,True,False,3,6,5,11,14,7,1,16,8,-1,West
11,12,20,16,True,False,3,6,5,11,15,7,1,15,7,-1,West
10,12,20,16,True,False,3,6,5,11,16,7,1,14,6,-1,West
9,12,20,16,True,False,3,7,4,11,17,7,1,12,6,-1,West
8,12,20,16,True,False,3,7,4,11,17,7,1,11,5,-1,West
7,12,20,16,True,False,3,7,5,11,17,7,1,10,3,-1,West
6,12,20,16,True,False,3,8,5,12,17,7,1,8,1,-1,West
5,12,20,16,False,False,2,9,3,1,17,7,1,6,-1,-1,West
5,11,20,16,False,False,2,9,3,1,17,7,1,6,-1,-1,South
5,11,20,16,False,False,2,8,3,1,18,7,1,7,-1,-1,South
6,11,20,16,False,False,2,8,3,1,18,7,1,8,-1,-1,East
7,11,20,16,False,False,2,9,3,1,18,7,1,8,-1,-1,East
7,10,20,16,False,False,2,9,3,1,18,7,1,6,-1,-1,South
6,10,20,16,False,False,2,9,3,1,17,7,1,5,-1,-1,West
6,10,20,16,False,False,2,9,3,1,17,7,1,4,-1,-1,West
6,9,20,16,False,False,2,9,3,1,16,7,1,4,-1,-1,South
5,9,20,16,False,False,2,9,3,1,16,7,1,4,-1,-1,West
4,9,20,16,False,False,2,8,3,1,16,7,1,4,-1,-1,West
3,9,20,16,False,False,2,8,3,1,16,7,1,3,-1,-1,West
2,9,20,16,False,False,2,8,3,1,16,7,1,1,-1,-1,West
1,9,20,16,False,False,2,9,3,1,16,7,1,1,-1,-1,West
1,8,20,16,False,False,2,9,3,1,16,7,1,3,-1,-1,South
2,8,20,16,False,False,2,9,3,1,16,7,1,2,-1,-1,East
3,8,20,16,False,False,2,9,3,1,16,7,1,2,-1,-1,East
3,9,20,16,False,False,2,8,3,1,16,7,1,2,-1,-1,North
4,9,20,16,False,False,1,1,3,1,17,7,1,-1,-1,-1,East
4,8,20,16,False,False,1,1,3,1,17,7,1,-1,-1,-1,South
4,7,20,16,False,False,1,1,3,1,17,7,1,-1,-1,-1,South
4,6,20,16,False,False,1,1,3,1,17,7,1,-1,-1,-1,South
5,6,20,16,False,False,1,1,3,1,17,7,1,-1,-1,-1,East
6,6,20,16,False,False,1,1,3,1,17,7,1,-1,-1,-1,East
7,6,20,16,False,False,1,1,3,1,17,7,1,-1,-1,-1,East
8,6,20,16,False,False,1,1,3,1,17,7,1,-1,-1,-1,East
9,6,20,16,False,False,1,1,3,1,17,7,1,-1,-1,-1,East
10,6,20,16,False,False,1,1,3,1,18,7,1,-1,-1,-1,East
11,6,20,16,False,False,1,1,3,1,17,7,1,-1,-1,-1,East
12,6,20,16,False,False,1,1,3,1,17,7,1,-1,-1,-1,East
13,6,20,16,False,False,1,1,3,1,17,7,1,-1,-1,-1,East
14,6,20,16,False,False,1,1,3,1,17,7,1,-1,-1,-1,East
15,6,20,16,False,False,1,1,3,1,17,7,1,-1,-1,-1,East
16,6,20,16,False,False,1,1,3,1,18,7,1,-1,-1,-1,East
17,6,20,16,False,False,1,1,3,1,17,7,1,-1,-1,-1,East
17,5,20,16,False,False,1,1,3,1,17,7,1,-1,-1,-1,South
13,10,20,16,True,True,4,6,5,12,13,13,12,12,10,2,East
13,11,20,16,True,True,4,6,5,12,13,13,12,13,9,1,North
13,12,20,16,True,False,3,6,5,12,13,7,1,14,8,-1,North
12,12,20,16,True,False,3,6,5,12,13,7,1,13,7,-1,West
11,12,20,16,True,False,3,6,5,12,13,7,1,12,6,-1,West
10,12,20,16,True,False,3,6,5,12,13,7,1,11,5,-1,West
9,12,20,16,True,False,3,6,5,12,13,7,1,10,4,-1,West
8,12,20,16,True,False,3,6,5,12,13,7,1,9,3,-1,West
7,12,20,16,True,False,3,6,5,12,13,7,1,8,2,-1,West
6,12,20,16,True,False,3,6,5,12,13,7,1,7,1,-1,West
5,12,20,16,False,False,2,6,3,1,13,7,1,6,-1,-1,West
4,12,20,16,False,False,2,6,3,1,13,7,1,7,-1,-1,West
5,12,20,16,False,False,2,6,3,1,13,7,1,6,-1,-1,East
5,11,20,16,False,False,2,6,3,1,13,7,1,5,-1,-1,South
6,11,20,16,False,False,2,6,3,1,13,7,1,6,-1,-1,East
6,10,20,16,False,False,2,6,3,1,13,7,1,5,-1,-1,South
6,9,20,16,False,False,2,6,3,1,13,7,1,4,-1,-1,South
5,9,20,16,False,False,2,6,3,1,13,7,1,3,-1,-1,West
5,8,20,16,False,False,2,6,3,1,13,7,1,2,-1,-1,South
5,7,20,16,False,False,2,6,3,1,13,7,1,1,-1,-1,South
5,6,20,16,False,False,1,1,3,1,13,7,1,-1,-1,-1,South
6,6,20,16,False,False,1,1,3,1,13,7,1,-1,-1,-1,East
7,6,20,16,False,False,1,1,3,1,13,7,1,-1,-1,-1,East
8,6,20,16,False,False,1,1,3,1,13,7,1,-1,-1,-1,East
9,6,20,16,False,False,1,1,3,1,13,7,1,-1,-1,-1,East
10,6,20,16,False,False,1,1,3,1,13,7,1,-1,-1,-1,East
11,6,20,16,False,False,1,1,3,1,13,7,1,-1,-1,-1,East
12,6,20,16,False,False,1,1,3,1,13,7,1,-1,-1,-1,East
1,10,20,13,True,True,4,5,7,7,9,14,7,9,9,16,South
1,9,20,13,True,True,4,5,7,8,9,15,7,8,7,16,South
2,9,20,13,True,True,4,5,7,7,9,16,7,8,7,16,East
3,9,20,13,True,True,4,4,6,7,10,16,7,8,5,15,East
4,9,20,13,True,True,4,4,7,7,11,17,7,8,5,15,East
5,9,20,13,True,True,4,4,6,7,10,16,7,8,3,13,East
5,8,20,13,True,True,4,4,7,7,10,16,7,6,3,12,South
5,7,20,13,True,True,4,4,8,7,11,16,7,5,3,11,South
6,7,20,13,True,True,4,4,8,7,11,16,7,3,2,10,East
7,7,20,13,True,True,4,3,9,7,11,17,7,5,2,10,East
8,7,20,13,False,True,3,4,3,1,10,17,8,5,-1,10,East
9,7,20,13,False,True,3,4,3,1,9,17,9,5,-1,10,East
9,8,20,13,False,True,3,5,3,1,9,17,9,5,-1,9,North
9,9,20,13,False,True,3,5,3,1,10,17,9,5,-1,8,North
10,9,20,13,False,True,3,5,3,1,11,17,8,6,-1,8,East
10,10,20,13,False,True,3,4,3,1,11,17,8,8,-1,9,North
10,11,20,13,False,True,3,4,3,1,11,18,8,10,-1,11,North
11,11,20,13,False,True,2,3,3,1,5,17,8,12,-1,9,East
11,10,20,13,False,True,2,3,3,1,5,18,8,10,-1,9,South
11,9,20,13,False,True,2,3,3,1,5,18,8,9,-1,8,South
12,9,20,13,False,True,2,3,3,1,5,18,9,11,-1,6,East
13,9,20,13,False,True,2,3,3,1,5,18,10,13,-1,6,East
14,9,20,13,False,True,2,4,3,1,5,18,9,13,-1,4,East
15,9,20,13,False,True,2,3,3,1,5,18,10,15,-1,4,East
16,9,20,13,False,True,2,4,3,1,5,18,9,15,-1,2,East
17,9,20,13,False,True,2,4,3,1,5,18,8,16,-1,2,East
18,9,20,13,False,True,2,4,3,1,5,17,8,16,-1,2,East
18,10,20,13,False,True,2,3,3,1,5,18,8,18,-1,2,North
18,9,20,13,False,True,2,3,3,1,5,17,8,16,-1,2,South
18,8,20,13,False,True,2,4,3,1,5,17,7,14,-1,2,South
17,8,20,13,False,True,2,4,3,1,5,17,7,12,-1,1,West
16,8,20,13,False,True,2,5,3,1,5,16,7,10,-1,1,West
15,8,20,13,False,True,2,6,3,1,5,16,7,8,-1,2,West
15,7,20,13,False,True,2,6,3,1,5,16,8,8,-1,2,South
16,7,20,13,False,False,1,5,3,1,5,7,1,10,-1,-1,East
17,7,20,13,False,False,1,5,3,1,5,7,1,11,-1,-1,East
17,8,20,13,False,False,1,4,3,1,5,7,1,13,-1,-1,North
17,9,20,13,False,False,1,4,3,1,5,7,1,14,-1,-1,North
16,9,20,13,False,False,1,4,3,1,5,7,1,13,-1,-1,West
15,9,20,13,False,False,1,4,3,1,5,7,1,12,-1,-1,West
14,9,20,13,False,False,1,3,3,1,5,7,1,12,-1,-1,West
13,9,20,13,False,False,1,3,3,1,5,7,1,10,-1,-1,West
12,9,20,13,False,False,1,4,3,1,5,7,1,8,-1,-1,West
11,9,20,13,False,False,1,5,3,1,5,7,1,6,-1,-1,West
10,9,20,13,False,False,1,5,3,1,5,7,1,6,-1,-1,West
9,9,20,13,False,False,1,5,3,1,5,7,1,4,-1,-1,West
9,8,20,13,False,False,1,6,3,1,5,7,1,2,-1,-1,South
9,7,20,13,False,False,1,6,3,1,5,7,1,2,-1,-1,South
9,6,20,13,False,False,1,6,3,1,5,7,1,1,-1,-1,South
9,5,20,13,False,False,1,5,3,1,5,7,1,1,-1,-1,South
2,11,20,13,True,True,4,5,6,9,8,14,6,10,6,17,East
3,11,20,13,True,True,4,5,6,9,8,14,6,9,5,16,East
4,11,20,13,True,True,4,5,6,9,8,14,6,8,4,15,East
5,11,20,13,True,True,4,5,6,9,8,14,6,7,3,14,East
6,11,20,13,True,True,4,5,6,9,8,14,6,6,2,13,East
7,11,20,13,True,True,4,5,6,9,8,14,6,7,3,12,East
8,11,20,13,True,True,3,5,6,9,5,14,6,8,4,11,East
7,11,20,13,True,True,3,5,6,9,5,14,6,7,3,12,West
6,11,20,13,True,True,3,5,6,9,5,14,6,6,2,13,West
6,10,20,13,True,True,3,5,6,9,5,14,6,5,1,12,South
6,9,20,13,False,True,2,5,3,1,5,14,6,4,-1,11,South
7,9,20,13,False,True,2,5,3,1,5,14,6,5,-1,10,East
8,9,20,13,False,True,2,5,3,1,5,14,6,6,-1,9,East
8,8,20,13,False,True,2,5,3,1,5,14,6,5,-1,8,South
8,7,20,13,False,True,2,5,3,1,5,14,6,4,-1,7,South
8,6,20,13,False,True,2,5,3,1,5,14,6,3,-1,6,South
8,5,20,13,False,True,2,5,3,1,5,14,6,2,-1,7,South
7,5,20,13,False,True,2,5,3,1,5,14,6,1,-1,8,West
