@relation 'pacman_info-weka.filters.supervised.attribute.ClassOrder-R1-C0-weka.filters.unsupervised.attribute.Remove-R5,7,10,15,20,22,24-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.instance.RemoveDuplicates'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute width numeric
@attribute height numeric
@attribute g2Living {True,False}
@attribute g4Living {True,False}
@attribute livingGhosts numeric
@attribute g1Y numeric
@attribute g2X numeric
@attribute g2Y numeric
@attribute g3X numeric
@attribute g4X numeric
@attribute g4Y numeric
@attribute g1D numeric
@attribute g2D numeric
@attribute g4D numeric
@attribute class {Stop,North,West,South,East}

@data
5,9,20,15,False,False,1,10,3,1,5,7,1,1,-1,-1,North
1,12,20,15,True,True,4,5,13,3,14,15,6,13,21,20,South
1,11,20,15,True,True,4,5,13,3,14,15,6,12,20,19,South
2,11,20,15,True,True,4,5,13,3,14,15,6,11,19,18,East
3,11,20,15,True,True,4,5,13,3,14,15,6,10,18,17,East
4,11,20,15,True,True,4,5,13,3,14,15,6,9,17,16,East
5,11,20,15,True,True,4,5,13,3,14,15,6,8,16,15,East
5,10,20,15,True,True,4,5,13,3,14,15,6,7,15,14,South
5,9,20,15,True,True,4,5,13,3,14,15,6,6,14,13,South
5,8,20,15,True,True,4,5,13,3,14,15,6,5,13,12,South
4,8,20,15,True,True,4,5,13,3,14,15,6,6,14,13,West
3,8,20,15,True,True,4,5,13,3,14,15,6,7,15,14,West
2,8,20,15,True,True,4,5,13,3,14,15,6,8,16,15,West
1,8,20,15,True,True,4,5,13,3,14,15,6,9,17,16,West
1,7,20,15,True,True,4,5,13,3,14,15,6,8,16,15,South
1,6,20,15,True,True,4,5,13,3,14,15,6,7,15,14,South
1,5,20,15,True,True,4,5,13,3,14,15,6,6,14,15,South
2,5,20,15,True,True,4,5,13,3,14,15,6,5,13,14,East
3,5,20,15,True,True,4,5,13,3,14,15,6,4,12,13,East
4,5,20,15,True,True,4,5,13,3,14,15,6,3,11,12,East
5,5,20,15,True,True,4,5,13,3,14,15,6,2,10,11,East
6,5,20,15,True,True,4,5,13,3,14,15,6,1,9,10,East
5,5,20,15,True,True,4,5,13,3,14,15,6,2,10,11,West
4,5,20,15,True,True,4,5,13,3,14,15,6,3,11,12,West
7,5,20,15,True,True,3,1,13,3,14,15,6,-1,8,9,East
6,5,20,15,True,True,3,1,13,3,14,15,6,-1,9,10,West
5,5,20,15,True,True,3,1,13,3,14,15,6,-1,10,11,West
4,5,20,15,True,True,3,1,13,3,14,15,6,-1,11,12,West
3,5,20,15,True,True,3,1,13,3,14,15,6,-1,12,13,West
2,5,20,15,True,True,3,1,13,3,14,15,6,-1,13,14,West
1,5,20,15,True,True,3,1,13,3,14,15,6,-1,14,15,West
1,4,20,15,True,True,3,1,13,3,14,15,6,-1,13,16,South
1,3,20,15,True,True,3,1,13,3,14,15,6,-1,12,17,South
2,3,20,15,True,True,3,1,13,3,14,15,6,-1,11,16,East
3,3,20,15,True,True,3,1,13,3,14,15,6,-1,10,15,East
4,3,20,15,True,True,3,1,13,3,14,15,6,-1,9,14,East
5,3,20,15,True,True,3,1,13,3,14,15,6,-1,8,13,East
6,3,20,15,True,True,3,1,13,3,14,15,6,-1,7,12,East
7,3,20,15,True,True,3,1,13,3,14,15,6,-1,6,11,East
8,3,20,15,True,True,3,1,13,3,14,15,6,-1,5,10,East
9,3,20,15,True,True,3,1,13,3,14,15,6,-1,4,9,East
10,3,20,15,True,True,3,1,13,3,14,15,6,-1,3,8,East
11,3,20,15,True,True,3,1,13,3,14,15,6,-1,2,7,East
12,3,20,15,True,True,3,1,13,3,14,15,6,-1,1,6,East
13,3,20,15,False,True,2,1,3,1,14,15,6,-1,-1,5,East
14,3,20,15,False,True,2,1,3,1,14,15,6,-1,-1,4,East
15,3,20,15,False,True,2,1,3,1,14,15,6,-1,-1,3,East
16,3,20,15,False,True,2,1,3,1,14,15,6,-1,-1,4,East
17,3,20,15,False,True,2,1,3,1,14,15,6,-1,-1,5,East
18,3,20,15,False,True,2,1,3,1,14,15,6,-1,-1,6,East
18,4,20,15,False,True,2,1,3,1,14,15,6,-1,-1,5,North
18,5,20,15,False,True,2,1,3,1,14,15,6,-1,-1,4,North
18,6,20,15,False,True,2,1,3,1,14,15,6,-1,-1,3,North
17,6,20,15,False,True,2,1,3,1,14,15,6,-1,-1,2,West
16,6,20,15,False,True,2,1,3,1,14,15,6,-1,-1,1,West
15,6,20,15,False,False,1,1,3,1,14,7,1,-1,-1,-1,West
14,6,20,15,False,False,1,1,3,1,14,7,1,-1,-1,-1,West
13,6,20,15,False,False,1,1,3,1,14,7,1,-1,-1,-1,West
12,6,20,15,False,False,1,1,3,1,14,7,1,-1,-1,-1,West
11,6,20,15,False,False,1,1,3,1,14,7,1,-1,-1,-1,West
10,6,20,15,False,False,1,1,3,1,14,7,1,-1,-1,-1,West
9,6,20,15,False,False,1,1,3,1,14,7,1,-1,-1,-1,West
9,7,20,15,False,False,1,1,3,1,14,7,1,-1,-1,-1,North
9,8,20,15,False,False,1,1,3,1,14,7,1,-1,-1,-1,North
9,9,20,15,False,False,1,1,3,1,14,7,1,-1,-1,-1,North
9,10,20,15,False,False,1,1,3,1,14,7,1,-1,-1,-1,North
9,11,20,15,False,False,1,1,3,1,14,7,1,-1,-1,-1,North
10,11,20,15,False,False,1,1,3,1,14,7,1,-1,-1,-1,East
11,11,20,15,False,False,1,1,3,1,14,7,1,-1,-1,-1,East
12,11,20,15,False,False,1,1,3,1,14,7,1,-1,-1,-1,East
13,11,20,15,False,False,1,1,3,1,14,7,1,-1,-1,-1,East
12,10,20,16,True,True,4,6,5,12,13,13,12,11,9,3,Stop
12,10,20,16,True,True,4,6,6,12,12,12,12,12,8,2,Stop
12,10,20,16,True,True,4,6,5,12,12,13,12,11,9,3,Stop
12,10,20,16,True,True,4,6,6,12,11,12,12,11,8,2,Stop
12,10,20,16,True,True,4,6,6,12,10,13,12,10,8,3,Stop
13,10,20,16,True,True,4,6,7,12,11,12,12,11,8,3,East
14,10,20,16,True,True,4,6,7,12,10,13,12,11,9,3,East
15,10,20,16,True,True,4,6,7,12,11,12,12,12,10,5,East
15,11,20,16,True,True,4,6,6,12,11,12,12,14,10,4,North
15,12,20,16,True,True,4,6,5,12,12,12,12,14,10,3,North
15,13,20,16,True,True,4,6,6,12,13,11,12,16,10,5,North
15,14,20,16,True,True,4,6,6,12,13,11,12,16,11,6,North
14,14,20,16,True,True,4,6,5,12,14,12,12,16,11,4,West
13,14,20,16,True,True,4,5,5,12,14,13,12,16,10,2,West
12,14,20,16,True,True,4,6,6,12,14,12,12,14,8,2,West
11,14,20,16,True,True,4,5,5,12,13,11,12,14,8,2,West
10,14,20,16,True,True,4,5,5,12,13,12,12,14,7,4,West
10,13,20,16,True,True,4,4,6,12,14,11,12,14,5,2,South
10,12,20,16,True,True,4,4,6,12,14,11,12,13,4,1,South
11,12,20,16,True,False,3,4,5,12,14,7,1,13,6,-1,East
10,12,20,16,True,False,3,4,5,12,14,7,1,11,5,-1,West
9,12,20,16,True,False,3,4,6,12,14,7,1,10,3,-1,West
8,12,20,16,True,False,3,4,6,12,14,7,1,9,2,-1,West
7,12,20,16,True,False,3,4,5,12,14,7,1,8,2,-1,West
6,12,20,16,False,False,2,4,3,1,15,7,1,8,-1,-1,West
7,12,20,16,False,False,2,4,3,1,15,7,1,8,-1,-1,East
8,12,20,16,False,False,2,4,3,1,15,7,1,9,-1,-1,East
8,13,20,16,False,False,2,5,3,1,15,7,1,9,-1,-1,North
8,14,20,16,False,False,2,6,3,1,14,7,1,9,-1,-1,North
9,14,20,16,False,False,2,6,3,1,13,7,1,9,-1,-1,East
10,14,20,16,False,False,2,6,3,1,13,7,1,11,-1,-1,East
11,14,20,16,False,False,2,6,3,1,14,7,1,13,-1,-1,East
12,14,20,16,False,False,2,6,3,1,15,7,1,14,-1,-1,East
13,14,20,16,False,False,2,6,3,1,14,7,1,14,-1,-1,East
14,14,20,16,False,False,2,6,3,1,14,7,1,15,-1,-1,East
15,14,20,16,False,False,2,5,3,1,14,7,1,17,-1,-1,East
15,13,20,16,False,False,2,5,3,1,15,7,1,16,-1,-1,South
15,12,20,16,False,False,2,5,3,1,15,7,1,16,-1,-1,South
15,11,20,16,False,False,2,5,3,1,15,7,1,15,-1,-1,South
15,10,20,16,False,False,2,5,3,1,16,7,1,15,-1,-1,South
15,9,20,16,False,False,2,5,3,1,17,7,1,13,-1,-1,South
15,8,20,16,False,False,2,5,3,1,17,7,1,11,-1,-1,South
15,7,20,16,False,False,2,5,3,1,18,7,1,10,-1,-1,South
15,6,20,16,False,False,2,5,3,1,17,7,1,9,-1,-1,South
15,5,20,16,False,False,2,5,3,1,16,7,1,9,-1,-1,South
15,4,20,16,False,False,2,5,3,1,16,7,1,9,-1,-1,South
15,3,20,16,False,False,2,4,3,1,15,7,1,9,-1,-1,South
16,3,20,16,False,False,2,4,3,1,16,7,1,11,-1,-1,East
17,3,20,16,False,False,2,3,3,1,17,7,1,11,-1,-1,East
17,4,20,16,False,False,1,3,3,1,5,7,1,11,-1,-1,North
17,5,20,16,False,False,1,3,3,1,5,7,1,13,-1,-1,North
17,6,20,16,False,False,1,3,3,1,5,7,1,15,-1,-1,North
16,6,20,16,False,False,1,3,3,1,5,7,1,15,-1,-1,West
16,5,20,16,False,False,1,4,3,1,5,7,1,13,-1,-1,South
16,4,20,16,False,False,1,4,3,1,5,7,1,13,-1,-1,South
15,4,20,16,False,False,1,4,3,1,5,7,1,12,-1,-1,West
14,4,20,16,False,False,1,3,3,1,5,7,1,12,-1,-1,West
14,3,20,16,False,False,1,4,3,1,5,7,1,12,-1,-1,South
13,3,20,16,False,False,1,4,3,1,5,7,1,12,-1,-1,West
12,3,20,16,False,False,1,4,3,1,5,7,1,11,-1,-1,West
11,3,20,16,False,False,1,4,3,1,5,7,1,10,-1,-1,West
10,3,20,16,False,False,1,4,3,1,5,7,1,9,-1,-1,West
9,3,20,16,False,False,1,4,3,1,5,7,1,7,-1,-1,West
8,3,20,16,False,False,1,3,3,1,5,7,1,5,-1,-1,West
7,3,20,16,False,False,1,4,3,1,5,7,1,5,-1,-1,West
6,3,20,16,False,False,1,4,3,1,5,7,1,5,-1,-1,West
5,3,20,16,False,False,1,4,3,1,5,7,1,3,-1,-1,West
4,3,20,16,False,False,1,4,3,1,5,7,1,3,-1,-1,West
3,3,20,16,False,False,1,4,3,1,5,7,1,3,-1,-1,West
3,4,20,16,False,False,1,4,3,1,5,7,1,1,-1,-1,North
3,5,20,16,False,False,1,3,3,1,5,7,1,3,-1,-1,North
2,5,20,16,False,False,1,3,3,1,5,7,1,3,-1,-1,West
1,5,20,16,False,False,1,4,3,1,5,7,1,1,-1,-1,West
