@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.supervised.attribute.MergeNominalValues-L0.05-Rfirst-last-weka.filters.supervised.attribute.MergeNominalValues-L0.05-Rfirst-last-weka.filters.supervised.attribute.ClassOrder-R1-C0-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R15

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute width numeric
@attribute g2Living {True,False}
@attribute g4Living {True,False}
@attribute livingGhosts numeric
@attribute g1Y numeric
@attribute g2X numeric
@attribute g2Y numeric
@attribute g3X numeric
@attribute g4X numeric
@attribute g4Y numeric
@attribute g1D numeric
@attribute g2D numeric
@attribute g4D numeric
@attribute score numeric
@attribute class {Stop,North,West,South,East}

@data
8,12,20,True,False,3,7,4,11,17,7,1,11,5,-1,187,West
7,12,20,True,False,3,7,5,11,17,7,1,10,3,-1,186,West
6,12,20,True,False,3,8,5,12,17,7,1,8,1,-1,185,West
5,12,20,False,False,2,9,3,1,17,7,1,6,-1,-1,384,West
5,11,20,False,False,2,9,3,1,17,7,1,6,-1,-1,383,South
5,11,20,False,False,2,8,3,1,18,7,1,7,-1,-1,382,South
6,11,20,False,False,2,8,3,1,18,7,1,8,-1,-1,381,East
7,11,20,False,False,2,9,3,1,18,7,1,8,-1,-1,380,East
7,10,20,False,False,2,9,3,1,18,7,1,6,-1,-1,379,South
6,10,20,False,False,2,9,3,1,17,7,1,5,-1,-1,378,West
6,10,20,False,False,2,9,3,1,17,7,1,4,-1,-1,377,West
6,9,20,False,False,2,9,3,1,16,7,1,4,-1,-1,376,South
5,9,20,False,False,2,9,3,1,16,7,1,4,-1,-1,375,West
4,9,20,False,False,2,8,3,1,16,7,1,4,-1,-1,374,West
3,9,20,False,False,2,8,3,1,16,7,1,3,-1,-1,373,West
2,9,20,False,False,2,8,3,1,16,7,1,1,-1,-1,372,West
1,9,20,False,False,2,9,3,1,16,7,1,1,-1,-1,371,West
1,8,20,False,False,2,9,3,1,16,7,1,3,-1,-1,370,South
2,8,20,False,False,2,9,3,1,16,7,1,2,-1,-1,369,East
3,8,20,False,False,2,9,3,1,16,7,1,2,-1,-1,368,East
3,9,20,False,False,2,8,3,1,16,7,1,2,-1,-1,367,North
4,9,20,False,False,1,1,3,1,17,7,1,-1,-1,-1,566,East
4,8,20,False,False,1,1,3,1,17,7,1,-1,-1,-1,565,South
4,7,20,False,False,1,1,3,1,17,7,1,-1,-1,-1,564,South
4,6,20,False,False,1,1,3,1,17,7,1,-1,-1,-1,563,South
5,6,20,False,False,1,1,3,1,17,7,1,-1,-1,-1,562,East
6,6,20,False,False,1,1,3,1,17,7,1,-1,-1,-1,561,East
7,6,20,False,False,1,1,3,1,17,7,1,-1,-1,-1,560,East
8,6,20,False,False,1,1,3,1,17,7,1,-1,-1,-1,559,East
9,6,20,False,False,1,1,3,1,17,7,1,-1,-1,-1,558,East
10,6,20,False,False,1,1,3,1,18,7,1,-1,-1,-1,557,East
11,6,20,False,False,1,1,3,1,17,7,1,-1,-1,-1,556,East
12,6,20,False,False,1,1,3,1,17,7,1,-1,-1,-1,555,East
13,6,20,False,False,1,1,3,1,17,7,1,-1,-1,-1,554,East
14,6,20,False,False,1,1,3,1,17,7,1,-1,-1,-1,553,East
15,6,20,False,False,1,1,3,1,17,7,1,-1,-1,-1,552,East
16,6,20,False,False,1,1,3,1,18,7,1,-1,-1,-1,551,East
17,6,20,False,False,1,1,3,1,17,7,1,-1,-1,-1,550,East
17,5,20,False,False,1,1,3,1,17,7,1,-1,-1,-1,549,South
13,10,20,True,True,4,6,5,12,13,13,12,12,10,2,-4,East
13,11,20,True,True,4,6,5,12,13,13,12,13,9,1,-5,North
13,12,20,True,False,3,6,5,12,13,7,1,14,8,-1,194,North
12,12,20,True,False,3,6,5,12,13,7,1,13,7,-1,193,West
11,12,20,True,False,3,6,5,12,13,7,1,12,6,-1,192,West
10,12,20,True,False,3,6,5,12,13,7,1,11,5,-1,191,West
9,12,20,True,False,3,6,5,12,13,7,1,10,4,-1,190,West
8,12,20,True,False,3,6,5,12,13,7,1,9,3,-1,189,West
7,12,20,True,False,3,6,5,12,13,7,1,8,2,-1,188,West
6,12,20,True,False,3,6,5,12,13,7,1,7,1,-1,187,West
5,12,20,False,False,2,6,3,1,13,7,1,6,-1,-1,386,West
4,12,20,False,False,2,6,3,1,13,7,1,7,-1,-1,385,West
5,12,20,False,False,2,6,3,1,13,7,1,6,-1,-1,384,East
5,11,20,False,False,2,6,3,1,13,7,1,5,-1,-1,383,South
5,11,20,False,False,2,6,3,1,13,7,1,5,-1,-1,382,South
6,11,20,False,False,2,6,3,1,13,7,1,6,-1,-1,381,East
6,10,20,False,False,2,6,3,1,13,7,1,5,-1,-1,380,South
6,9,20,False,False,2,6,3,1,13,7,1,4,-1,-1,379,South
5,9,20,False,False,2,6,3,1,13,7,1,3,-1,-1,378,West
5,8,20,False,False,2,6,3,1,13,7,1,2,-1,-1,377,South
5,7,20,False,False,2,6,3,1,13,7,1,1,-1,-1,376,South
5,6,20,False,False,1,1,3,1,13,7,1,-1,-1,-1,575,South
