@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R6-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,6-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}
@attribute score2 numeric

@data
0.333333,0.45,0.648148,South,373
0.333333,0.45,0.646465,South,372
0.333333,0.35,0.644781,South,371
0.333333,0.35,0.643098,South,370
0.333333,0.3,0.641414,South,369
0.333333,0.4,0.639731,North,368
0.333333,0.4,0.638047,South,367
0.333333,0.35,0.636364,South,366
0.333333,0.25,0.63468,North,365
0.333333,0.3,0.632997,North,364
0.333333,0.25,0.631313,North,363
0.333333,0.2,0.62963,North,362
0.333333,0.25,0.627946,North,361
0.333333,0.3,0.626263,North,360
0.333333,0.3,0.624579,North,359
0.333333,0.25,0.622896,East,358
0.333333,0.15,0.621212,East,357
0.333333,0.1,0.619529,East,356
0.333333,0.1,0.617845,East,355
0.333333,0.1,0.616162,East,354
0.333333,0,0.614478,East,553
0,0.7,0.949495,South,552
0,0.6,0.947811,South,551
0,0.5,0.946128,West,550
0,0.45,0.944444,West,549
0,0.4,0.942761,South,548
0,0.4,0.941077,South,547
0,0.35,0.939394,South,546
0,0.35,0.93771,West,545
0,0.4,0.936027,West,544
0,0.35,0.934343,South,543
0,0.4,0.93266,South,542
0,0.4,0.930976,North,541
0,0.4,0.929293,South,540
0,0.35,0.927609,North,539
0,0.35,0.925926,North,538
0,0.3,0.924242,North,537
0,0.35,0.922559,North,536
0,0.3,0.920875,South,535
0,0.35,0.919192,South,534
0,0.4,0.917508,South,533
0,0.4,0.915825,South,532
0,0.35,0.914141,South,531
0,0.4,0.912458,South,530
0,0.4,0.910774,South,529
0,0.35,0.909091,South,528
0,0.4,0.907407,South,527
0,0.3,0.905724,North,526
0,0.25,0.90404,North,525
0,0.3,0.902357,North,524
0,0.35,0.900673,North,523
0,0.4,0.89899,North,522
0,0.4,0.897306,South,521
0,0.45,0.895623,South,520
0,0.5,0.893939,South,519
0,0.5,0.892256,South,518
0,0.55,0.890572,South,517
0,0.5,0.888889,North,516
0,0.55,0.887205,North,515
0,0.45,0.885522,South,514
0,0.5,0.883838,South,513
0,0.55,0.882155,South,512
0,0.6,0.880471,South,511
0,0.6,0.878788,North,510
0,0.6,0.877104,North,509
0,0.5,0.875421,West,508
0,0.4,0.873737,West,507
0,0.4,0.872054,West,506
0,0.35,0.87037,West,505
0,0.35,0.868687,West,504
0,0.3,0.867003,North,503
0,0.35,0.86532,North,502
0,0.25,0.863636,North,501
0,0.25,0.861953,West,500
0,0.2,0.860269,West,499
0,0.2,0.858586,West,498
0,0.2,0.856902,West,497
0,0.1,0.855219,West,496
0,0,0.853535,West,695
1,0.1,0.018519,Stop,-1
1,0,0.016835,North,-2
1,0,0.015152,North,-3
1,0,0.013468,South,-4
1,0.05,0.011785,North,-5
0.666667,0.35,0.346801,South,194
0.666667,0.3,0.345118,North,193
0.666667,0.25,0.343434,North,192
0.666667,0.25,0.341751,West,191
0.666667,0.2,0.340067,South,190
0.666667,0.1,0.338384,West,189
0.666667,0.1,0.3367,West,188
0.666667,0.1,0.335017,South,187
0.666667,0.05,0.333333,North,186
0.666667,0.05,0.33165,West,185
0.666667,0,0.329966,West,384
0.333333,0.35,0.664983,West,383
0.333333,0.35,0.6633,South,382
0.333333,0.3,0.661616,South,381
0.333333,0.25,0.659933,South,380
0.333333,0.25,0.658249,East,379
0.333333,0.25,0.656566,East,378
0.333333,0.2,0.654882,South,377
0.333333,0.15,0.653199,East,376
0.333333,0.15,0.651515,East,375
0.333333,0.15,0.649832,East,374
0.333333,0.15,0.648148,North,373
0.333333,0.15,0.646465,East,372
0.333333,0.15,0.644781,South,371
0.333333,0.1,0.643098,East,370
0.333333,0.1,0.641414,East,369
0.333333,0.1,0.639731,North,368
0.333333,0.1,0.638047,East,367
0.333333,0.1,0.636364,South,366
0.333333,0,0.63468,East,565
0,1,0.969697,East,564
0,0.95,0.968013,South,563
0,0.85,0.96633,South,562
0,0.75,0.964646,South,561
0,0.75,0.962963,South,560
0,0.75,0.961279,West,559
0,0.65,0.959596,South,558
0,0.65,0.957912,West,557
0,0.65,0.956229,North,556
0,0.65,0.954545,West,555
0,0.6,0.952862,South,554
0,0.5,0.951178,West,553
0,0.5,0.949495,West,552
0,0.45,0.947811,North,551
0,0.45,0.946128,West,550
0,0.35,0.944444,South,549
0,0.35,0.942761,West,548
0,0.35,0.941077,West,547
0,0.35,0.939394,North,546
0,0.25,0.93771,North,545
0,0.2,0.936027,West,544
0,0.2,0.934343,West,543
0,0.2,0.93266,West,542
0,0.2,0.930976,North,541
0,0.2,0.929293,West,540
0,0.2,0.927609,North,539
0,0.2,0.925926,North,538
0,0.2,0.924242,South,537
0,0.1,0.922559,South,536
0,0.1,0.920875,West,535
0,0.1,0.919192,South,534
0,0.05,0.917508,West,533
0,0,0.915825,West,732
